zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
3950,EL TORNO,Torno,Q187833,TORNU KALEA,TORNU KALEA,CALLE
4809,ELCIEGO,Elciego,Q1368834,ELTZIEGO KALEA,ELTZIEGO KALEA,CALLE
4672,ELEXALDE,ELEXALDE,,ELEXALDE KALEA,ELEXALDE KALEA,CALLE
4661,ELGETA,Elgueta,Q1639427,ELGETA KALEA,ELGETA KALEA,CALLE
1403,ELGOIBAR,Elgóibar,Q1618383,ELGOIBAR KALEA,ELGOIBAR KALEA,CALLE
6280,ELORRIAGA,Elorriaga,Q604341,ELORRIAGA,ELORRIAGA,ENTIDAD
4779,ELORRIBARRA,ELORRIBARRA,,ELORRIBARRA KALEA,ELORRIBARRA KALEA,CALLE
4703,ELORRIO,Elorrio,Q1242382,ELORRIO KALEA,ELORRIO KALEA,CALLE
4811,ELVILLAR,Elvillar,Q1368805,BILLAR KALEA,BILLAR KALEA,CALLE
1410,ELVIRA ZULUETA,Elvira Zulueta Ruiz de Gámiz,Q106858431,ELVIRA ZULUETA KALEA,ELVIRA ZULUETA KALEA,CALLE
1420,EMILIA PARDO BAZAN,Emilia Pardo Bazán,Q275929,EMILIA PARDO BAZAN KALEA,EMILIA PARDO BAZAN KALEA,CALLE
790,"EMPERADOR CARLOS I, PLAZA DEL",Carlos I de España,Q32500,KARLOS I. ENPERADOREAREN PLAZA,KARLOS I. ENPERADOREAREN PLAZA,PLAZA
1425,ENRIQUE DE EGUREN,ENRIQUE DE EGUREN,,ENRIQUE EGUREN KALEA,ENRIQUE EGUREN KALEA,CALLE
4916,ENTZIA,sierra de Entzia,Q12256892,ENTZIA KALEA,ENTZIA KALEA,CALLE
4912,EREA,EREA,,EREA KALEA,EREA KALEA,CALLE
4890,ERENTXUN,Mikel Erentxun,Q3750752,ERENTXUN KALEA,ERENTXUN KALEA,CALLE
4729,ERMUA,Ermua,Q1242400,ERMUA KALEA,ERMUA KALEA,CALLE
4594,ERNESTINA DE CHAMPOURCIN,Ernestina de Champourcín,Q3754414,ERNESTINA CHAMPOURCIN KALEA,ERNESTINA CHAMPOURCIN KALEA,CALLE
1440,ERREKALEOR,Errekaleor,Q28503340,ERREKALEOR KALEA,ERREKALEOR KALEA,CALLE
4754,ERREKARTEA,Errekartea,Q95616099,ERREKARTEA KALEA,ERREKARTEA KALEA,CALLE
1430,ERREKATXIKI,ERREKATXIKI,,ERREKATXIKI KALEA,ERREKATXIKI KALEA,CALLE
4938,ERROTALDE,ERROTALDE,,ERROTALDE KALEA,ERROTALDE KALEA,CALLE
1445,ERROTAMENDIA,ERROTAMENDIA,,ERROTAMENDIA KALEA,ERROTAMENDIA KALEA,CALLE
4752,ERROTAURRA,ERROTAURRA,,ERROTAURRA KALEA,ERROTAURRA KALEA,CALLE
1478,ESCULTOR CARLOS YMBERT,ESCULTOR CARLOS YMBERT,,CARLOS YMBERT ESKULTOREAREN KALEA,CARLOS YMBERT ESKULTOREAREN KALEA,CALLE
1474,ESCULTOR ISAAC DIEZ,Isaak Díez Ibáñez,Q126362155,ISAAC DIEZ ESKULTOREAREN KALEA,ISAAC DIEZ ESKULTOREAREN KALEA,CALLE
1476,ESCULTOR JOAQUIN LUCARINI,Joaquín Lucarini,Q9012257,JOAQUIN LUCARINI ESKULTOREAREN KALEA,JOAQUIN LUCARINI ESKULTOREAREN KALEA,CALLE
1472,ESCULTOR LORENZO FERNANDEZ DE VIANA,Lorenzo Fernandez de Viana,Q12262593,LORENZO FERNANDEZ DE VIANA ESKULTOREAREN KALEA,LORENZO FERNANDEZ DE VIANA ESKULTOREAREN KALEA,CALLE
1450,ESKALMENDI,Escalmendi,Q117244953,ESKALMENDI KALEA,ESKALMENDI KALEA,CALLE
6290,ESKIBEL,Eskibel,Q95616641,ESKIBEL,ESKIBEL,ENTIDAD
4712,"ESKIBEL , PASEO DE",Eskibel,Q95616641,ESKIBEL IBILBIDEA,ESKIBEL IBILBIDEA,PASEO
1460,ESKORIATZA,Palacio Escoriaza Esquibel,Q6057668,ESKORIATZA KALEA,ESKORIATZA KALEA,CALLE
1480,"ESPAÑA, PLAZA DE (PLAZA NUEVA)",España,Q29,ESPAINIA PLAZA (PLAZA BERRIA),ESPAINIA PLAZA (PLAZA BERRIA),PLAZA
4975,ESPACIO MARTIN TTIPIA,Martín Ttipia,Q72794912,MARTIN TTIPIA LEKUA,MARTIN TTIPIA LEKUA,OTRAS VIAS
1495,ESPOZ Y MINA,Francisco Espoz y Mina,Q2745347,ESPOZ Y MINA KALEA,ESPOZ Y MINA KALEA,CALLE
6300,ESTARRONA,Estarrona,Q621576,ESTARROA,ESTARROA,ENTIDAD
2480,ESTATUTO DE GERNIKA,Estatuto de Autonomía del País Vasco de 1979,Q3110999,GERNIKAKO ESTATUTUAREN KALEA,GERNIKAKO ESTATUTUAREN KALEA,CALLE
4746,"ESTE , PARQUE DEL",este,Q684,EKIALDEKO PARKEA,EKIALDEKO PARKEA,PARQUE
4530,ESTELLA,Estella,Q646620,LIZARRA KALEA,LIZARRA KALEA,CALLE
4902,ESTIBALIZ,Santuario de Nuestra Señora de Estíbaliz,Q1139113,ESTIBALIZ,ESTIBALIZ,CALLE
4691,ESTOCOLMO,Estocolmo,Q1754,STOCKHOLM KALEA,STOCKHOLM KALEA,CALLE
4694,"ESTRASBURGO ,PASEO DE",Estrasburgo,Q6602,ESTRASBURGO IBILBIDEA,ESTRASBURGO IBILBIDEA,PASEO
4892,ETURA,Etura,Q3059405,ETURA KALEA,ETURA KALEA,CALLE
1512,ETXEZARRA,Etxezarra,Q3034942,ETXEZARRA KALEA,ETXEZARRA KALEA,CALLE
4793,EUGENIO LAZARO,Eugenio Lázaro Valle,Q109327027,EUGENIO LAZARO KALEA,EUGENIO LAZARO KALEA,CALLE
1515,EULOGIO SERDAN,Eulogio Serdán,Q8846238,EULOGIO SERDAN KALEA,EULOGIO SERDAN KALEA,CALLE
1520,"EULOGIO SERDAN, PASAJE",Eulogio Serdán,Q8846238,EULOGIO SERDAN PASABIDEA,EULOGIO SERDAN PASABIDEA,PASAJE
4696,"EUROPA ,PASEO DE",Europa,Q46,EUROPA IBILBIDEA,EUROPA IBILBIDEA,PASEO
4550,"EUSKAL HERRIA, BULEVAR",Euskal Herria,Q47588,EUSKAL HERRIA BULEBARRA,EUSKAL HERRIA BULEBARRA,CALLE
4976,"EUSKALDUNBERRI, PLAZA",euskaldun berri,Q61070664,EUSKALDUNBERRI PLAZA,EUSKALDUNBERRI PLAZA,PLAZA
4588,"EUSKALTZAINDIA, PLAZA",Real Academia de la Lengua Vasca,Q202042,EUSKALTZAINDIA PLAZA,EUSKALTZAINDIA PLAZA,PLAZA
1530,EXTREMADURA,Extremadura,Q5777,EXTREMADURA KALEA,EXTREMADURA KALEA,CALLE
1535,FAUSTO IÑIGUEZ DE BETOLAZA,Fausto Íñiguez de Betolaza Sáez de Asteasu,Q19868542,FAUSTO IÑIGUEZ DE BETOLATZA KALEA,FAUSTO IÑIGUEZ DE BETOLATZA KALEA,CALLE
1540,FEDERICO BARAIBAR,Federico Baráibar,Q1276479,FEDERICO BARAIBAR KALEA,FEDERICO BARAIBAR KALEA,CALLE
1542,FEDERICO GARCIA LORCA,Federico García Lorca,Q41408,FEDERICO GARCIA LORCA KALEA,FEDERICO GARCIA LORCA KALEA,CALLE
1550,FELICIA OLAVE,Felicia Olave Salaverri,Q47463147,FELICIA OLABE KALEA,FELICIA OLABE KALEA,CALLE
4668,FELIX ALFARO FOURNIER,Félix Alfaro Fournier,Q12258045,FELIX ALFARO FOURNIER KALEA,FELIX ALFARO FOURNIER KALEA,CALLE
4891,FELIX GONZALEZ PETITE,FELIX GONZALEZ PETITE,,FELIX GONZALEZ PETITE KALEA,FELIX GONZALEZ PETITE KALEA,CALLE
3420,FELIX MARIA SAMANIEGO,Félix María de Samaniego,Q379642,FELIX MARIA SAMANIEGO KALEA,FELIX MARIA SAMANIEGO KALEA,CALLE
4527,FERDINAND ZEPPELIN,Ferdinand von Zeppelin,Q75780,FERDINAND ZEPPELIN KALEA,FERDINAND ZEPPELIN KALEA,CALLE
1560,FERMIN LASUEN,Fermín Lasuén,Q5444431,FERMIN LASUEN KALEA,FERMIN LASUEN KALEA,CALLE
1570,FERNAN GONZALEZ,Fernán González,Q443034,FERNAN GONZALEZ KALEA,FERNAN GONZALEZ KALEA,CALLE
1580,FERROCARRIL,ferrocarril,Q22667,TRENBIDE KALEA,TRENBIDE KALEA,CALLE
4770,FERROCARRIL DEL NORTE,ferrocarril,Q22667,NORTEKO TRENBIDEAREN KALEA,NORTEKO TRENBIDEAREN KALEA,CALLE
1590,FLANDES,Flandes,Q234,FLANDRIA KALEA,FLANDRIA KALEA,CALLE
6320,FORONDA,Foronda,Q620770,FORONDA,FORONDA,ENTIDAD
710,FRANCIA,Francia,Q142,FRANTZIA KALEA,FRANTZIA KALEA,CALLE
1603,FRANCISCO JAVIER DE LANDABURU,Francisco Javier de Landaburu,Q4890142,F. XABIER LANDABURU KALEA,F. XABIER LANDABURU KALEA,CALLE
2030,"FRANCISCO JUAN DE AYALA, PLAZA",Francisco Juan Ayala Ortiz de Urbina,Q84519299,FRANCISCO JUAN AIALA PLAZA,FRANCISCO JUAN AIALA PLAZA,PLAZA
1604,FRANCISCO LEANDRO DE VIANA,FRANCISCO LEANDRO DE VIANA,,FRANCISCO LEANDRO VIANA KALEA,FRANCISCO LEANDRO VIANA KALEA,CALLE
1606,FRANCISCO LONGA,Francisco de Longa,Q3755388,FRANCISCO LONGA KALEA,FRANCISCO LONGA KALEA,CALLE
4576,FRANCISCO TOMAS Y VALIENTE,Francisco Tomás y Valiente,Q3753555,FRANCISCO TOMAS Y VALIENTE KALEA,FRANCISCO TOMAS Y VALIENTE KALEA,CALLE
1610,"FRAY FRANCISCO DE VITORIA, PASEO DE",FRAY FRANCISCO DE VITORIA,,FRAI FRANCISCO VITORIA IBILBIDEA,FRAI FRANCISCO VITORIA IBILBIDEA,PASEO
1620,FRAY ZACARIAS MARTINEZ,FRAY ZACARIAS MARTINEZ,,FRAI ZACARIAS MARTINEZ KALEA,FRAI ZACARIAS MARTINEZ KALEA,CALLE
1635,FUENTE DE LA SALUD,FUENTE DE LA SALUD,,OSASUN ITURRI KALEA,OSASUN ITURRI KALEA,CALLE
1640,"FUENTE DE LOS PATOS, PLAZUELA DE LA",FUENTE DE LOS PATOS,,AHATE ITURRI PLAZATXOA,AHATE ITURRI PLAZATXOA,PLAZUELA
4777,FUENTECILLAS,FUENTECILLAS,,FUENTECILLAS KALEA,FUENTECILLAS KALEA,CALLE
1650,FUEROS,Fuero,Q5467181,FORU KALEA,FORU KALEA,CALLE
1651,"FUEROS, PLAZA DE LOS",Fuero,Q5467181,FORU PLAZA,FORU PLAZA,PLAZA
3890,FUNDADORA DE LAS SIERVAS DE JESUS,Ludwika Szczęsna,Q11739620,JESUSEN ZERBITZARIEN FUNDATZAILEAN KALEA,JESUSEN ZERBITZARIEN FUNDATZAILEAN KALEA,CALLE
4560,GABRIEL ARESTI,Gabriel Aresti,Q3045517,GABRIEL ARESTI KALEA,GABRIEL ARESTI KALEA,CALLE
4556,GABRIEL CELAYA,Gabriel Celaya,Q522641,GABRIEL ZELAIA KALEA,GABRIEL ZELAIA KALEA,CALLE
4859,GABRIEL MARTINEZ DE ARAGON URBIZTONDO,Gabriel Martínez de Aragón y Urbiztondo,Q110401566,GABRIEL MARTINEZ DE ARAGON URBIZTONDO KALEA,GABRIEL MARTINEZ DE ARAGON URBIZTONDO KALEA,CALLE
4822,GABRIELA MISTRAL,Gabriela Mistral,Q80871,GABRIELA MISTRAL KALEA,GABRIELA MISTRAL KALEA,CALLE
4901,GALARRETA,Alfonso de Galarreta,Q934914,GALARRETA KALEA,GALARRETA KALEA,CALLE
1660,GALICIA,Galicia,Q3908,GALIZIA KALEA,GALIZIA KALEA,CALLE
4799,GALILEO,Galileo Galilei,Q307,GALILEO KALEA,GALILEO KALEA,CALLE
6330,GAMARRA MAYOR/GAMARRA NAGUSIA,Gamarra Mayor,Q621779,GAMARRA,GAMARRA,ENTIDAD
6340,GAMARRA MENOR,GAMARRA MENOR,,GAMARRAGUTXIA,GAMARRAGUTXIA,ENTIDAD
1670,"GAMARRA, PLAZA DE",Gamarra,Q16870093,GAMARRA PLAZA,GAMARRA PLAZA,PLAZA
4920,GAMARRARTEA,Gamarra,Q16870093,GAMARRARTEA KALEA,GAMARRARTEA KALEA,CALLE
6350,GAMIZ,Gámiz,Q611055,GAMIZ,GAMIZ,ENTIDAD
1690,GARALBIDE,GARALBIDE,,GARALBIDE KALEA,GARALBIDE KALEA,CALLE
6360,GARDELEGI,Gardélegui,Q627151,GARDELEGI,GARDELEGI,ENTIDAD
1700,GASTEIZ,Vitoria,Q14318,GASTEIZ KALEA,GASTEIZ KALEA,CALLE
1770,"GASTEIZ, AVENIDA DE",Vitoria,Q14318,GASTEIZ HIRIBIDEA,GASTEIZ HIRIBIDEA,AVENIDA
1691,"GAZALBIDE, PARQUE",GAZALBIDE,,GAZALBIDEKO PARKEA,GAZALBIDEKO PARKEA,PARQUE
1730,GENERAL ALAVA,Miguel Ricardo de Álava,Q451113,ALABA JENERALAREN KALEA,ALABA JENERALAREN KALEA,CALLE
1731,"GENERAL ALAVA, PASAJE DEL",Miguel Ricardo de Álava,Q451113,ALABA JENERALEKO PASABIDEA,ALABA JENERALEKO PASABIDEA,PASAJE
1750,"GENERAL LOMA, PLAZA DEL",José María Loma,Q64784921,LOMA JENERALAREN PLAZA,LOMA JENERALAREN PLAZA,PLAZA
1763,"GERARDO ARMESTO, PLAZA",Gerardo Armesto,Q114661703,GERARDO ARMESTO PLAZA,GERARDO ARMESTO PLAZA,PLAZA
4593,GERARDO DIEGO,Gerardo Diego,Q382815,GERARDO DIEGO KALEA,GERARDO DIEGO KALEA,CALLE
6410,GEREÑA,Guereña,Q622885,GEREÑA,GEREÑA,ENTIDAD
1764,GEREZPEA,GEREZPEA,,GEREZPEA KALEA,GEREZPEA KALEA,CALLE
1765,GERNIKAKO ARBOLA,Árbol de Guernica,Q919957,GERNIKAKO ARBOLAREN KALEA,GERNIKAKO ARBOLAREN KALEA,CALLE
4640,GERTRUDIS GOMEZ DE AVELLANEDA,Gertrudis Gómez de Avellaneda,Q283353,GERTRUDIS GOMEZ DE AVELLANEDA KALEA,GERTRUDIS GOMEZ DE AVELLANEDA KALEA,CALLE
4585,GETARIA,Guetaria,Q849330,GETARIA KALEA,GETARIA KALEA,CALLE
1830,GIPUZKOA,Guipúzcoa,Q95010,GIPUZKOA KALEA,GIPUZKOA KALEA,CALLE
4621,GIRONA,provincia de Gerona,Q7194,GIRONA KALEA,GIRONA KALEA,CALLE
6370,GOBEO,Gobeo,Q569200,GOBEU,GOBEU,ENTIDAD
4953,GOIENA,GOIENA,,GOIENA KALEA,GOIENA KALEA,CALLE
1775,GOIKOBERAZA,GOIKOBERAZA,,GOIKOBERAZA KALEA,GOIKOBERAZA KALEA,CALLE
6390,GOMETXA,Gomecha,Q627124,GOMETXA,GOMETXA,ENTIDAD
1780,GORBEA,Monte Gorbea,Q557374,GORBEIA KALEA,GORBEIA KALEA,CALLE
4893,GORDOA,Gordoa,Q95618136,GORDOA KALEA,GORDOA KALEA,CALLE
4564,GRAN SOL,GRAN SOL,,GRAN SOL KALEA,GRAN SOL KALEA,CALLE
4973,"GREEN CAPITAL, PLAZA",Capital City Green,Q5035516,GREEN CAPITAL PLAZA,GREEN CAPITAL PLAZA,PLAZA
1790,"GREGORIO ALTUBE, PLAZA",Gregorio Altube,Q123468138,GREGORIO ALTUBE PLAZA,GREGORIO ALTUBE PLAZA,PLAZA
1820,GUATEMALA,Guatemala,Q774,GUATEMALA KALEA,GUATEMALA KALEA,CALLE
1810,GUAYAQUIL,Guayaquil,Q43509,GUAYAQUIL KALEA,GUAYAQUIL KALEA,CALLE
4873,GUILLERMO ELIO MOLINUEVO,GUILLERMO ELIO MOLINUEVO,,GUILLERMO ELIO MOLINUEVO PLAZA,GUILLERMO ELIO MOLINUEVO PLAZA,PLAZA
1835,GURUTZELARRE,GURUTZELARRE,,GURUTZELARRE KALEA,GURUTZELARRE KALEA,CALLE
4840,"GUSTAVO DORE, PLAZA DE",Gustave Doré,Q6682,GUSTAVE DORE PLAZA,GUSTAVE DORE PLAZA,PLAZA
4839,HANS CHRISTIAN ANDERSEN,Hans Christian Andersen,Q5673,HANS CHRISTIAN ANDERSEN KALEA,HANS CHRISTIAN ANDERSEN KALEA,CALLE
4609,HARRIA,cantero,Q328325,HARRIA KALEA,HARRIA KALEA,CALLE
1837,HARROBI,cantera,Q188040,HARROBI KALEA,HARROBI KALEA,CALLE
4686,HELSINKI,Helsinki,Q1757,HELSINKI KALEA,HELSINKI KALEA,CALLE
4841,HENRY MORTON STANLEY,Henry Morton Stanley,Q171421,HENRY MORTON STANLEY KALEA,HENRY MORTON STANLEY KALEA,CALLE
1838,HERACLIO ALFARO,Heraclio Alfaro Fournier,Q3753016,HERACLIO ALFARO KALEA,HERACLIO ALFARO KALEA,CALLE
1840,HERACLIO FOURNIER,Heraclio Fournier González,Q22305124,HERACLIO FOURNIER KALEA,HERACLIO FOURNIER KALEA,CALLE
1850,"HERACLIO FOURNIER, PLAZA",Heraclio Fournier González,Q22305124,HERACLIO FOURNIER PLAZA,HERACLIO FOURNIER PLAZA,PLAZA
4523,HERMANOS ELHUYAR,Hermanos Elhuyar,Q12256717,ELHUYAR ANAIEN KALEA,ELHUYAR ANAIEN KALEA,CALLE
4521,HERMANOS LUMIERE,hermanos Lumière,Q55965,LUMIERE ANAIEN KALEA,LUMIERE ANAIEN KALEA,CALLE
1860,HERMINIO MADINAVEITIA,Herminio Madinaveitia,Q55442297,HERMINIO MADINABEITIA KALEA,HERMINIO MADINABEITIA KALEA,CALLE
1870,HERRERIA,herrería,Q11204681,ERREMENTARI KALEA,ERREMENTARI KALEA,CALLE
4928,HERRIKO PLAZA,HERRIKO PLAZA,,HERRIKO PLAZA,HERRIKO PLAZA,PLAZA
4605,HONDARRIBIA,Fuenterrabía,Q492312,HONDARRIBI KALEA,HONDARRIBI KALEA,CALLE
1890,HONDURAS,Honduras,Q783,HONDURAS KALEA,HONDURAS KALEA,CALLE
1900,HORTALEZA,HORTALEZA,,HORTALEZA KALEA,HORTALEZA KALEA,CALLE
1910,"HOSPITAL, PLAZA DEL",hospital,Q16917,OSPITALE PLAZA,OSPITALE PLAZA,PLAZA
4789,HOSPITALEROS,hospitalero,Q1550885,OSTATU EMAILEEN KALEA,OSTATU EMAILEEN KALEA,CALLE
6420,HUETO ABAJO/OTOBARREN,Hueto Abajo,Q621773,OTOBARREN,OTOBARREN,ENTIDAD
1915,IBARREDI,IBARREDI,,IBARREDI KALEA,IBARREDI KALEA,CALLE
4544,"IGNACIO ALDECOA, PLAZA",Ignacio Aldecoa,Q1657241,IGNACIO ALDEKOA PLAZA,IGNACIO ALDEKOA PLAZA,PLAZA
4842,IGNACIO RUIZ DE LUZURIAGA,Ignacio María Ruiz de Luzuriaga,Q58803333,IGNACIO RUIZ DE LUZURIAGA KALEA,IGNACIO RUIZ DE LUZURIAGA KALEA,CALLE
4227,IHURRALDEA,IHURRALDEA,,IHURRALDEA KALEA,IHURRALDEA KALEA,CALLE
6440,ILARRATZA,Ilárraza,Q611041,ILARRATZA,ILARRATZA,ENTIDAD
1930,INDEPENDENCIA,independencia,Q37055,INDEPENDENTZIA KALEA,INDEPENDENTZIA KALEA,CALLE
4761,INGENIERO ALEJANDRO MENDIZABAL,INGENIERO ALEJANDRO MENDIZABAL,,ALEJANDRO MENDIZABAL INGENIARIAREN KALEA,ALEJANDRO MENDIZABAL INGENIARIAREN KALEA,CALLE
4555,IRATI,Irati,Q2454100,IRATI KALEA,IRATI KALEA,CALLE
4747,"IRUÑA-VELEIA, AVENIDA DE",Iruña-Veleia,Q796596,IRUÑA-VELEIA HIRIBIDEA,IRUÑA-VELEIA HIRIBIDEA,AVENIDA
4887,IRURAITZ-GAUNA,Iruraiz-Gauna,Q1443812,IRURAITZ-GAUNA KALEA,IRURAITZ-GAUNA KALEA,CALLE
1950,ISAAC ALBENIZ,Isaac Albéniz,Q185812,ISAAC ALBENIZ KALEA,ISAAC ALBENIZ KALEA,CALLE
4883,ISAAC PUENTE AMESTOY,Isaac Puente Amestoy,Q2595685,ISAAC PUENTE AMESTOY KALEA,ISAAC PUENTE AMESTOY KALEA,CALLE
4586,ISABEL ORBE,Isabel Orbe,Q9009406,ISABEL ORBE KALEA,ISABEL ORBE KALEA,CALLE
4909,ISABEL URKIOLA,Isabel de Urquiola,Q59191843,ISABEL URKIOLA KALEA,ISABEL URKIOLA KALEA,CALLE
4771,ITINERARIO DE ANTONINO,Itinerario de Antonino,Q512256,ANTONINO IBILBIDEAREN KALEA,ANTONINO IBILBIDEAREN KALEA,CALLE
4954,ITURBIDE,ITURBIDE,,ITURBIDE KALEA,ITURBIDE KALEA,CALLE
4922,ITURGANA,ITURGANA,,ITURGANA KALEA,ITURGANA KALEA,CALLE
4980,ITURGUTXI,ITURGUTXI,,ITURGUTXI KALEA,ITURGUTXI KALEA,CALLE
4936,ITURRIAGA,ITURRIAGA,,ITURRIAGA KALEA,ITURRIAGA KALEA,CALLE
1955,ITURRITXU,ITURRITXU,,ITURRITXU KALEA,ITURRITXU KALEA,CALLE
1960,ITURRIZABALA,Iturzabaleta,Q95619158,ITURRIZABALA KALEA,ITURRIZABALA KALEA,CALLE
4781,ITURRIZULO,ITURRIZULO,,ITURRIZULO KALEA,ITURRIZULO KALEA,CALLE
4956,ITXINAGA,ITXINAGA,,ITXINAGA KALEA,ITXINAGA KALEA,CALLE
4914,IZKI,montes de Izki,Q12259991,IZKI KALEA,IZKI KALEA,CALLE
1963,JACINTO ARREGUI,Jacinto Arregui,Q123485407,JACINTO ARREGI KALEA,JACINTO ARREGI KALEA,CALLE
1965,JACINTO BENAVENTE,Jacinto Benavente,Q83184,JACINTO BENAVENTE KALEA,JACINTO BENAVENTE KALEA,CALLE
4535,JACINTO QUINCOCES,Jacinto Quincoces,Q529087,JACINTO QUINCOCES KALEA,JACINTO QUINCOCES KALEA,CALLE
4843,JERONIMO ROURE,Gerónimo Roure Fernández,Q116681155,JERONIMO ROURE KALEA,JERONIMO ROURE KALEA,CALLE
1970,JESUS GURIDI,Jesús Guridi,Q978147,JESUS GURIDI KALEA,JESUS GURIDI KALEA,CALLE
1971,"JESUS MARIA DE LEIZAOLA, PLAZA",Jesús María Leizaola,Q644465,JESUS MARIA LEIZAOLA PLAZA,JESUS MARIA LEIZAOLA PLAZA,PLAZA
4792,JESUS MARIA VELASCO,JESUS MARIA VELASCO,,JESUS MARIA VELASCO KALEA,JESUS MARIA VELASCO KALEA,CALLE
1973,JOAQUIN COLLAR,Joaquín Collar Serra,Q3817616,JOAQUIN COLLAR KALEA,JOAQUIN COLLAR KALEA,CALLE
2155,JOAQUIN JOSE LANDAZURI,Joaquín José de Landázuri y Romarate,Q5932133,JOAQUIN JOSE LANDAZURI KALEA,JOAQUIN JOSE LANDAZURI KALEA,CALLE
2156,"JOAQUIN JOSE LANDAZURI, PASAJE DE",Joaquín José de Landázuri y Romarate,Q5932133,JOAQUIN JOSE LANDAZURI PASABIDEA,JOAQUIN JOSE LANDAZURI PASABIDEA,PASAJE
4642,"JORGE DIEZ ELORZA , JARDINES",Jorge Díez Elorza,Q109327361,JORGE DIEZ ELORZA LORATEGIA,JORGE DIEZ ELORZA LORATEGIA,JARDIN
4862,JORGE FERNANDEZ IBARRA,JORGE FERNANDEZ IBARRA,,JORGE FERNANDEZ IBARRA KALEA,JORGE FERNANDEZ IBARRA KALEA,CALLE
4596,JORGE GUILLEN,Jorge Guillén,Q59837,JORGE GUILLEN KALEA,JORGE GUILLEN KALEA,CALLE
4979,"JOSÉ MIGUEL FERNÁNDEZ DE PINEDO, PARQUE",JOSÉ MIGUEL FERNÁNDEZ DE PINEDO,,JOSÉ MIGUEL FERNÁNDEZ DE PINEDO PARKEA,JOSÉ MIGUEL FERNÁNDEZ DE PINEDO PARKEA,PARQUE
1980,JOSE ACHOTEGUI,JOSE ACHOTEGUI,,JOSE ATXOTEGI KALEA,JOSE ATXOTEGI KALEA,CALLE
4577,JOSE ANTONIO ANDONEGUI,JOSE ANTONIO ANDONEGUI,,JOSE ANTONIO ANDONEGI KALEA,JOSE ANTONIO ANDONEGI KALEA,CALLE
1993,JOSE DE ANCHIETA,José de Anchieta,Q317126,JOSE ANTXIETA KALEA,JOSE ANTXIETA KALEA,CALLE
1995,JOSE DOMINGO OLARTE,JOSE DOMINGO OLARTE,,JOSE DOMINGO OLARTE KALEA,JOSE DOMINGO OLARTE KALEA,CALLE
4584,JOSE ERBINA,JOSE ERBINA,,JOSE ERBINA KALEA,JOSE ERBINA KALEA,CALLE
4795,JOSE IGNACIO USTARAN,José Ignacio Ustarán,Q55640544,JOSE IGNACIO USTARAN KALEA,JOSE IGNACIO USTARAN KALEA,CALLE
2000,JOSE LEJARRETA,José Lejarreta Salterain,Q84709107,JOSE LEJARRETA KALEA,JOSE LEJARRETA KALEA,CALLE
