zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
4908,BLANCA DE SILOS,Blanca de Silos,Q18645679,BLANCA DE SILOS KALEA,BLANCA DE SILOS KALEA,""CALLE"""
4547,BLAS DE OTERO,Blas de Otero,Q881756,BLAS DE OTERO KALEA,BLAS DE OTERO KALEA,""CALLE"""
6220,BOLIVAR,BOLIVAR,,BOLIBAR,BOLIBAR,""ENTIDAD"""
630,BOLIVIA,Bolivia,Q750,BOLIVIA KALEA,BOLIVIA KALEA,""CALLE"""
4671,BORINBIZKARRA,Borinbizkarra,Q559994,BORINBIZKARRA KALEA,BORINBIZKARRA KALEA,""CALLE"""
2110,BRASIL,Brasil,Q155,BRASIL KALEA,BRASIL KALEA,""CALLE"""
4736,""BRATISLAVA , AVENIDA DE"",Bratislava,Q1780,BRATISLAVA HIRIBIDEA,BRATISLAVA HIRIBIDEA,""AVENIDA"""
4650,BREMEN,Bremen,Q1209,BREMEN KALEA,BREMEN KALEA,""CALLE"""
640,BRUNO VILLARREAL,Bruno Villarreal,Q2927021,BRUNO VILLARREAL KALEA,BRUNO VILLARREAL KALEA,""CALLE"""
4681,""BRUSELAS , AVENIDA DE"",Bruselas,Q239,BRUSELA HIRIBIDEA,BRUSELA HIRIBIDEA,""AVENIDA"""
4741,BUCAREST,Bucarest,Q19660,BUKAREST KALEA,BUKAREST KALEA,""CALLE"""
4734,""BUDAPEST , AVENIDA DE"",Budapest,Q1781,BUDAPEST HIRIBIDEA,BUDAPEST HIRIBIDEA,""AVENIDA"""
650,BUENO MONREAL,José María Bueno Monreal,Q978510,BUENO MONREAL KALEA,BUENO MONREAL KALEA,""CALLE"""
4764,BULEVAR DE MARITURRI,bulevar de Mariturri,Q123342548,MARITURRI BULEBARRA,MARITURRI BULEBARRA,""CALLE"""
