zbk,Gazteleraz,Gazteleraz 2,WIKIDATA,Euskaraz,Euskaraz 2,kale mota
4613,ZAROA,ZAROA,,ZAROA KALEA,ZAROA KALEA,CALLE
4780,ZEARSOLOETA,ZEARSOLOETA,,ZEARSOLOETA KALEA,ZEARSOLOETA KALEA,CALLE
930,ZENDAGUREN,ZENDAGUREN,,ZENDAGUREN KALEA,ZENDAGUREN KALEA,CALLE
6240,ZERIO,Cerio,Q611067,ZERIO,ZERIO,ENTIDAD
4950,"ZIKIRIMENDI, PLAZA DE",ZIKIRIMENDI,,ZIKIRIMENDI PLAZA,ZIKIRIMENDI PLAZA,PLAZA
4292,ZORROLLETA,ZORROLLETA,,ZORROLLETA KALEA,ZORROLLETA KALEA,CALLE
4290,ZORROSTEA,ZORROSTEA,,ZORROSTEA KALEA,ZORROSTEA KALEA,CALLE
6780,ZUAZO DE VITORIA/ZUHATZU,Zuazo de Vitoria,Q630975,ZUHATZU,ZUHATZU,ENTIDAD
4295,ZUAZOBIDEA,ZUAZOBIDEA,,ZUAZOBIDEA,ZUAZOBIDEA,CALLE
4580,"ZUBEROA, PLAZA",Zuberoa,Q117076909,ZUBEROA PLAZA,ZUBEROA PLAZA,PLAZA
4300,ZUBIBARRI,Zubibarria,Q48759221,ZUBIBARRI KALEA,ZUBIBARRI KALEA,CALLE
4769,ZUBITAGA,ZUBITAGA,,ZUBITAGA KALEA,ZUBITAGA KALEA,CALLE
4310,ZUMABIDE,calle de Zumabide,Q123509142,ZUMABIDE,ZUMABIDE,CALLE
4723,"ZUMAIA, PLAZA",Zumaya,Q229659,ZUMAIA PLAZA,ZUMAIA PLAZA,PLAZA
6790,ZUMELTZU,Zumelzu,Q629744,ZUMELTZU,ZUMELTZU,ENTIDAD
4345,ZURRUPITIETA,ZURRUPITIETA,,ZURRUPITIETA KALEA,ZURRUPITIETA KALEA,CALLE
4679,"8 DE MARZO,  AVENIDA",8 de marzo,Q2395,MARTXOAK 8 ETORBIDEA,MARTXOAK 8 ETORBIDEA,AVENIDA
