nkcr,wd
ge129991,Q94950
ge130106,Q93347
ge130893,Q92689
ge131212,Q93195
ge137209,Q81011
ge137312,Q83210
ge251185,Q94537
ge286125,Q94557
ge291159,Q94231
ge295715,Q81136
ge345829,Q94573
ge369476,Q83891
ge383694,Q83247
ge384810,Q84170
ge390217,Q81178
ge454229,Q93528
ge507290,Q80914
ge530055,Q82394
ge550358,Q82185
ge581755,Q79804
ge602850,Q79980
ge602982,Q80967
ge629468,Q82681
ge672218,Q84125
ge680981,Q94978
ge761833,Q91176
ge766335,Q82643
ge831091,Q83000
ge878441,Q82616
ge892041,Q81088
ph118321,Q79838
ph187922,Q93165
ge1043220,Q99988
ge1118968,Q104036
ge1120073,Q101685
ge116117,Q104764
ge128763,Q106583
ge129568,Q102317
ge129836,Q107380
ge131282,Q105198
ge139336,Q101583
ge254942,Q104302
ge271768,Q105084
ge307225,Q103717
ge342294,Q118841
ge535423,Q108053
ge601923,Q115043
ge671354,Q100040
ge671355,Q103837
ge710147,Q105444
ge780610,Q119771
ge813123,Q115459
ge887578,Q102736
ge938441,Q103148
ge949729,Q109140
ge976953,Q103148
ph903268,Q106333
ge1072532,Q132960
ge1082351,Q131818
ge1092785,Q125905
ge1121783,Q134433
ge130117,Q132564
ge131214,Q131955
ge131989,Q132453
ge134196,Q134494
ge139364,Q124110
ge256062,Q129259
ge272701,Q131128
ge293102,Q128105
ge316753,Q128756
ge327057,Q137610
ge371046,Q134287
ge383678,Q133123
ge385436,Q131329
ge394583,Q128306
ge397964,Q128499
ge478590,Q135615
ge594310,Q139183
ge601452,Q125378
ge659038,Q138229
ge758102,Q142101
ge759534,Q138648
ge773924,Q126084
ge834492,Q135466
ge897606,Q135616
ge977730,Q139056
ge980409,Q125384
ge996337,Q130800
ge1032930,Q149186
ge1095198,Q153963
ge1096369,Q147747
ge128712,Q144983
ge128864,Q158423
ge128939,Q146356
ge129406,Q147607
ge130914,Q148859
ge131039,Q149105
ge131421,Q144227
ge131482,Q143958
ge131574,Q159589
ge134458,Q153494
ge138762,Q151985
ge160055,Q159838
ge201763,Q144239
ge290550,Q159736
ge328425,Q146317
ge339019,Q148988
ge345674,Q149120
ge345824,Q158969
ge346052,Q151485
ge369251,Q148299
ge413045,Q146469
ge462396,Q159856
ge484070,Q153676
ge545056,Q147015
ge560283,Q158821
ge565411,Q145261
ge570884,Q146435
ge574173,Q156828
ge577246,Q145871
ge577286,Q159124
ge612950,Q156752
ge635340,Q159890
ge679301,Q155542
ge682136,Q155570
ge697006,Q155455
ge699085,Q149016
ge757223,Q157525
ge763769,Q156837
ge869723,Q148827
ge979203,Q155587
ph116633,Q132821
ph124836,Q124988
ph116178,Q156864
ph119442,Q149999
ph119970,Q154262
ph121134,Q150008
ph121483,Q157123
ph276446,Q157964
ph293199,Q146981
ph311286,Q154031
ph487763,Q157873
ph508917,Q156907
ge1006439,Q179259
ge1120110,Q170996
ge1123561,Q167783
ge1124073,Q161905
ge128938,Q161094
ge128954,Q170295
ge129028,Q178488
ge129200,Q178925
ge129492,Q164471
ge129691,Q166717
ge131228,Q171393
ge134050,Q170143
ge135890,Q173082
ge153055,Q175197
ge156541,Q161609
ge168273,Q167952
ge206112,Q171132
ge206808,Q163009
ge213354,Q175452
ge215892,Q173338
ge298021,Q178913
ge317706,Q164421
ge335487,Q178753
ge335667,Q165010
ge338976,Q165380
ge341443,Q164193
ge342258,Q168648
ge345694,Q164590
ge345713,Q164479
ge345866,Q164516
ge346494,Q164564
ge346880,Q166050
ge351148,Q164561
ge353252,Q170287
ge356486,Q168900
ge362885,Q163924
ge371099,Q166162
ge372073,Q176874
ge375480,Q174622
ge399237,Q177888
ge402243,Q162979
ge402587,Q171357
ge423013,Q173527
ge430140,Q170996
ge518935,Q181504
ge565740,Q161605
ge633871,Q170570
ge637766,Q161176
ge644096,Q169237
ge680908,Q181314
ge681745,Q170415
ge763471,Q168701
ge765412,Q165662
ge769187,Q170247
ge769605,Q164070
ge773625,Q160381
ge820821,Q162880
ge860926,Q179833
ge893088,Q171943
ge932005,Q172470
ge940286,Q171323
ge972855,Q171224
ph118962,Q170877
ph119976,Q181260
ph120857,Q162244
ph125315,Q174205
ph126416,Q167987
ph164186,Q179288
ph170469,Q179461
ph234804,Q171795
ph541625,Q181533
ph615997,Q179975
ph661101,Q167067
ph779388,Q179670
ph779407,Q179591
ge1002222,Q187712
ge1005534,Q183124
ge1031638,Q187136
ge1034811,Q200049
ge1076563,Q193677
ge1090674,Q187805
ge1103432,Q192273
ge1123526,Q192980
ge1124153,Q182009
ge127949,Q187543
ge075502,Q241486
ge1003957,Q240475
ge1036401,Q239421
ge1039756,Q224861
ge1120033,Q241298
ge128670,Q241717
ge130430,Q241767
ge130704,Q240419
ge131269,Q240986
ge131397,Q225400
ge163788,Q241475
ge199131,Q230459
ge291785,Q231494
ge292680,Q241450
ge403400,Q239502
ge540141,Q221495
ge550186,Q230860
ge550591,Q221377
ge566677,Q239266
ge632073,Q234600
ge672216,Q241940
ge682314,Q242191
ge699879,Q230104
ge744469,Q234719
ge754792,Q225729
ge798387,Q105893254
ge888971,Q231593
ge894467,Q242514
ge899898,Q240066
ge905762,Q222084
ge931384,Q242059
ge965274,Q238931
ph1108955,Q204646
ph114494,Q208365
ph137708,Q208353
ph187928,Q209089
ph323359,Q18556536
ph507299,Q220577
ph621774,Q207782
ph725238,Q208127
ph779427,Q202578
ph1119027,Q184018
ph120399,Q190549
ph128363,Q182076
ph135726,Q186529
ph220678,Q10253316
ph311307,Q181733
ph319494,Q189763
ph337774,Q188972
ph413849,Q188584
ph508975,Q190502
ge451778,Q336076
ge550235,Q326274
ge557032,Q336438
ge627875,Q324139
ge643720,Q319242
ge671757,Q323408
ge693690,Q328455
ge728806,Q326142
ge741816,Q330098
ge760049,Q334874
ge763786,Q335446
ge842344,Q337978
ge894794,Q319984
ge979119,Q339642
ge128589,Q191097
ge129058,Q189863
ge129441,Q191120
ge130857,Q193474
ge131048,Q194263
ge131148,Q182903
ge131164,Q193721
ge131765,Q192702
ge134372,Q193253
ge134490,Q190002
ge200713,Q196616
ge204504,Q184579
ge250824,Q186848
ge264541,Q186254
ge290582,Q190702
ge305387,Q194103
ge309855,Q200709
ge311458,Q185032
ge311474,Q182647
ge369070,Q182872
ge382339,Q195592
ge403337,Q185582
ge421785,Q187373
ge484356,Q1056717
ge484477,Q183539
ge518194,Q200200
ge548919,Q192517
ge561938,Q185488
ge566845,Q200917
ge571800,Q200960
ge582402,Q196481
ge613317,Q200747
ge626875,Q190690
ge632219,Q192265
ge643200,Q187205
ge689259,Q200022
ge709148,Q191616
ge722819,Q190774
ge753018,Q193082
ge756916,Q201149
ge760123,Q192176
ge760156,Q200048
ge775083,Q193306
ge794228,Q192435
ge798814,Q198800
ge807071,Q187636
ge847184,Q183104
ge874246,Q192606
ge937382,Q191566
ge944714,Q191314
ge964805,Q197014
ge990904,Q193638
ge1063911,Q329266
ge1086514,Q325550
ge1094585,Q336250
ge1121567,Q319694
ge116112,Q341845
ge128624,Q341327
ge128633,Q336098
ge130672,Q321139
ge137435,Q325461
ge160035,Q338764
ge160041,Q341158
ge197573,Q332622
ge261674,Q330250
ge268058,Q339048
ge311479,Q328072
ge312516,Q337518
ge314542,Q341862
ge335498,Q330634
ge337628,Q338266
ge337651,Q341875
ge339939,Q339873
ge346067,Q324843
ge346485,Q331476
ge346800,Q330603
ge366637,Q330346
ge371291,Q339404
ge378013,Q338054
ge382794,Q330256
ge389745,Q339735
ge419762,Q339224
ge449008,Q329884
ph116825,Q234953
ph274678,Q234915
ph349166,Q221469
ph407307,Q223689
ph487776,Q242644
ph629133,Q223126
ge1035429,Q207098
ge1035494,Q210667
ge1050918,Q209932
ge1053207,Q212793
ge1060285,Q217432
ge1073812,Q207575
ge1087966,Q203995
ge1089693,Q208445
ge117349,Q204772
ge117982,Q206549
ge128433,Q214806
ge128517,Q220121
ge129637,Q205616
ge131266,Q205228
ge132335,Q207799
ge160482,Q201823
ge167695,Q208177
ge229434,Q201729
ge327512,Q209270
ge343962,Q204905
ge346843,Q209244
ge346847,Q218527
ge346851,Q218518
ge346861,Q218583
ge369123,Q217524
ge399175,Q213154
ge406706,Q207225
ge408837,Q209523
ge502098,Q209034
ge503718,Q212283
ge522190,Q207353
ge525689,Q208499
ge536171,Q205547
ge568574,Q207801
ge581539,Q208015
ge601706,Q205380
ge601748,Q207540
ge602860,Q203767
ge760119,Q204472
ge788020,Q207448
ge816967,Q206665
ge832212,Q213510
ge889135,Q207235
ge921360,Q205358
ge958013,Q203889
ge972569,Q202177
ge995666,Q202796
ge130628,Q369687
ge131177,Q373951
ge136517,Q368105
ge453632,Q362689
ge758570,Q361962
ge813183,Q368619
ge882866,Q366895
ge980971,Q368362
