artikulua,wd,inguma,title,data,wd_egileak,issue,sp,ep,doi,ojs_landing,wd_upload
https://wikibase.inguma.eus/entity/Q13725,,ote-partikularen-interpretazioaz-eta-haren-mikroaldakortasunaz,Ote partikularen interpretazioaz eta haren mikroaldakortasunaz,2021-01-01T00:00:00Z,"""1"": ""Q130759847""",119,95,119,10.26876/uztaro.119.2021.6,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4967,
https://wikibase.inguma.eus/entity/Q13422,Q130763813,hezkuntza-espetxean-birgizarteratze-indibidualaren-eredutik-ikuspegi-eraldatzailera,Hezkuntza espetxean: birgizarteratze indibidualaren eredutik ikuspegi eraldatzailera,2022-01-01T00:00:00Z,"""1"": ""Q130759809""",120,37,49,10.26876/uztaro.120.2022.2,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4978,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36467,Q130762810,emakumeak-eta-alkohol-kontsumoa-estigmaren-kalteak,Emakumeak eta alkohol-kontsumoa: estigmaren kalteak,2024-01-01T00:00:00Z,"""1"": ""Q88267322"", ""4"": ""Q130759761"", ""2"": ""Q130759800"", ""3"": ""Q99170468""",128,45,71,10.26876/uztaro.5063,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5063,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35154,Q130763179,artearen-historia-digital-parekiderantz-euskal-emakume-artistak-wikipedian,Artearen historia digital parekiderantz: euskal emakume artistak Wikipedian,2022-01-01T00:00:00Z,"""2"": ""Q130759803"", ""1"": ""Q130759750""",121,5,30,10.26876/uztaro.121.2022.1,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4991,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35032,Q130762106,obesitatea-eta-eskola-jazarpena-haurtzaroan-eta-nerabezaroan-berrikuspen-sistematikoa,Obesitatea eta eskola-jazarpena haurtzaroan eta nerabezaroan: berrikuspen sistematikoa,2022-01-01T00:00:00Z,"""2"": ""Q130759818"", ""4"": ""Q130759814"", ""3"": ""Q130759816"", ""1"": ""Q57569536""",122,121,147,10.26876/uztaro.122.2022.7,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5016,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q36680,Q130761261,kirol-kanpainetan-genero-ikuspegia-ebaluatzeko-adierazleen-proposamena,Kirol-kanpainetan genero-ikuspegia ebaluatzeko adierazleen proposamena,2023-01-01T00:00:00Z,"""5"": ""Q130759826"", ""1"": ""Q58103058"", ""2"": ""Q130759766"", ""6"": ""Q130759831"", ""4"": ""Q98831878"", ""3"": ""Q75958869""",127,43,57,10.26876/uztaro.127.2023.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5055,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q35037,Q130763119,erlezaintzako-jardueraren-ingurumen-utilitateek-eta-utilitate-sozioekonomiko-eta-soziokulturalek-duten-garrantzia,Erlezaintzako jardueraren ingurumen-utilitateek eta utilitate sozioekonomiko eta soziokulturalek duten garrantzia,2022-01-01T00:00:00Z,"""1"": ""Q104668805"", ""2"": ""Q78191797""",122,19,37,10.26876/uztaro.122.2022.2,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5007,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36465,Q130762988,euskal-kasazio-zibila-espainiar-kasazio-sisteman-integratzeko-azken-saiakera-euskal-kasazio-errekurtso-zibilari-buruzko-maiatzaren-19ko-4-2022-legearen-harira,Euskal kasazio zibila espainiar kasazio-sisteman integratzeko azken saiakera: Euskal Kasazio-Errekurtso Zibilari buruzko maiatzaren 19ko 4/2022 Legearen harira,2024-01-01T00:00:00Z,"""1"": ""Q109490497"", ""2"": ""Q130759838""",128,93,124,10.26876/uztaro.5065,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5065,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35035,,erresilientzia-prozesuak-irakaslegaien-prestakuntzan,Erresilientzia-prozesuak irakaslegaien prestakuntzan,2022-01-01T00:00:00Z,"""3"": ""Q130759866"", ""1"": ""Q130759881"", ""4"": ""Q130759801"", ""2"": ""Q130759845""",122,59,76,10.26876/uztaro.122.2022.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5008,
https://wikibase.inguma.eus/entity/Q35146,Q130763743,disgrafia-hobetzeko-esku-hartzea-idazkailu-digitala-erabiliz,Disgrafia hobetzeko esku-hartzea idazkailu digitala erabiliz,2022-01-01T00:00:00Z,"""1"": ""Q104668608"", ""2"": ""Q77304706""",121,155,178,10.26876/uztaro.121.2022.8,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4997,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13419,,larramendiren-hiztegi-hirukoitzaren-digitalizazioa-karaktereen-ezagutze-optikoa-eta-wikitekara-igotzea-00,Larramendiren Hiztegi Hirukoitzaren digitalizazioa. Karaktereen ezagutze optikoa eta Wikitekara igotzea,2022-01-01T00:00:00Z,"""1"": ""Q57694630"", ""2"": ""Q130759832""",120,83,93,10.26876/uztaro.120.2022.5,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4981,
https://wikibase.inguma.eus/entity/Q13727,Q130763177,urrutiko-irakaskuntza-haur-hezkuntzan-irakaslegaien-usteetara-hurbilketa,Urrutiko irakaskuntza Haur Hezkuntzan: irakaslegaien usteetara hurbilketa,2021-01-01T00:00:00Z,"""1"": ""Q130759862""",119,59,74,10.26876/uztaro.119.2021.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4966,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q37318,,konfinamendu-garaian-langileen-egoera-soziolaborala-euskal-herrian,Konfinamendu-garaian langileen egoera soziolaborala Euskal Herrian,2023-01-01T00:00:00Z,"""2"": ""Q104668545"", ""1"": ""Q81517287""",124,75,101,10.26876/uztaro.124.2023.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5034,
https://wikibase.inguma.eus/entity/Q35153,Q130763810,ekonomia-sozialeko-erakundeen-kudeaketa-orekatua-adierazleen-sistema-berri-bat-ikastolen-elkartearentzat,Ekonomia Sozialeko erakundeen kudeaketa orekatua: adierazleen sistema berri bat Ikastolen Elkartearentzat,2022-01-01T00:00:00Z,"""3"": ""Q99527975"", ""1"": ""Q104668770"", ""2"": ""Q104016657""",121,33,56,10.26876/uztaro.121.2022.2,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4992,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36681,Q130763231,covid-19aren-eragina-euskal-musikariengan,COVID-19aren eragina euskal musikariengan,2023-01-01T00:00:00Z,"""2"": ""Q104668798"", ""3"": ""Q130759769"", ""1"": ""Q130759768""",127,23,42,10.26876/uztaro.127.2023.2,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5054,2024-11-03T00:00:00Z
