wikibase_item,pdf,zot
Q35546,https://www.inguma.eus/fso/fitxategia/181-ikergazte.iii.01.18_24.pdf,XIWZJN6I
Q35548,https://www.inguma.eus/fso/fitxategia/179-ikergazte.iii.01.11_17.pdf,GWKNY62J
Q35550,https://www.inguma.eus/fso/fitxategia/385-ikergazte.ii.05.177_183.pdf,DEQD9P3G
Q35555,https://www.inguma.eus/fso/fitxategia/380-ikergazte.ii.05.146_151.pdf,QMVHRVPY
Q35560,https://www.inguma.eus/fso/fitxategia/375-ikergazte.ii.05.110_115.pdf,KJCVRXKS
Q35561,https://www.inguma.eus/fso/fitxategia/374-ikergazte.ii.05.103_109.pdf,K63WRP92
Q35564,https://www.inguma.eus/fso/fitxategia/371-ikergazte.ii.05.82_87.pdf,PYTF8798
Q35565,https://www.inguma.eus/fso/fitxategia/370-ikergazte.ii.05.74_81.pdf,FXKFMS4W
Q35567,https://www.inguma.eus/fso/fitxategia/368-ikergazte.ii.05.60_66.pdf,LR5C9EHV
Q35569,https://www.inguma.eus/fso/fitxategia/366-ikergazte.ii.05.45_52.pdf,49JFL2XC
Q35573,https://www.inguma.eus/fso/fitxategia/362-ikergazte.ii.05.22_27.pdf,EK8G9EWL
Q35575,https://www.inguma.eus/fso/fitxategia/359-ikergazte.ii.04.10_17.pdf,6YUXHZUR
Q35576,https://www.inguma.eus/fso/fitxategia/335-ikergazte.ii.03.165_172.pdf,J27FA2MK
Q35577,https://www.inguma.eus/fso/fitxategia/334-ikergazte.ii.03.157_164.pdf,TT7UFC8R
Q35578,https://www.inguma.eus/fso/fitxategia/333-ikergazte.ii.03.149_156.pdf,8I7CKTKA
Q35588,https://www.inguma.eus/fso/fitxategia/323-ikergazte.ii.03.75_82.pdf,XMDE388L
Q35611,https://www.inguma.eus/fso/fitxategia/277-ikergazte.ii.02.125_130.pdf,YA3ESYH9
Q35497,https://www.inguma.eus/fso/fitxategia/211-ikergazte.iii.03.110_116.pdf,PJLVAWUQ
Q35499,https://www.inguma.eus/fso/fitxategia/209-ikergazte.iii.03.94_101.pdf,BN52AKPA
Q35500,https://www.inguma.eus/fso/fitxategia/218-ikergazte.iii.03.87_93.pdf,CXVGFGU7
Q35302,https://www.inguma.eus/fso/fitxategia/21-ikergazte.iv.04.185-192.proteinetan-oinarritutako.pdf,YU6CXPZE
Q35303,https://www.inguma.eus/fso/fitxategia/20-ikergazte.iv.04.177-184.garun-traumatismoen.pdf,ZJ4EPZKD
Q35323,https://www.inguma.eus/fso/fitxategia/132-ikergazte.iv.04.21-27.heltze-egoeraren.pdf,L8HSBVAK
Q35326,https://www.inguma.eus/fso/fitxategia/128-ikergazte.iv.02.307-314.estatuaren-konstituzio.pdf,A47UWIRY
Q35332,https://www.inguma.eus/fso/fitxategia/122-ikergazte.iv.02.255-267.presentismoaren-determinatzaileak.pdf,Q95DYFNT
Q35335,https://www.inguma.eus/fso/fitxategia/119-ikergazte.iv.02.231-237.euskal-kirol.pdf,QAQTZ827
Q35338,https://www.inguma.eus/fso/fitxategia/116-ikergazte.iv.02.209-216.kontabilitateak-behar.pdf,6HGA6XIV
Q35342,https://www.inguma.eus/fso/fitxategia/112-ikergazte.iv.02.177-184.bizitzaren-sostegarritasunerako.pdf,RPB39VNS
Q35346,https://www.inguma.eus/fso/fitxategia/108-ikergazte.iv.02.145-152.ethazi-berrikuntza.pdf,8UUVJCAR
Q35350,https://www.inguma.eus/fso/fitxategia/104-ikergazte.iv.02.111-119.zahartzaroko-mendekotasuna.pdf,4TRI37CV
Q35354,https://www.inguma.eus/fso/fitxategia/100-ikergazte.iv.02.79-86.pedagogia-libertarioaren.pdf,8QF5KW7W
Q35355,https://www.inguma.eus/fso/fitxategia/99-ikergazte.iv.02.71-78.gizarte-ekonomiako.pdf,3ZZRVIQ4
Q35356,https://www.inguma.eus/fso/fitxategia/98-ikergazte.iv.02.65-70.inteligentzia-artifiziala.pdf,RDN6GKUR
Q35357,https://www.inguma.eus/fso/fitxategia/97-ikergazte.iv.02.57-64.adineko-pertsonek.pdf,ZYFA2WZT
Q35360,https://www.inguma.eus/fso/fitxategia/95-ikergazte.iv.02.33-40.eta-euskararen.pdf,29KLR789
Q35364,https://www.inguma.eus/fso/fitxategia/93-ikergazte.iv.01.143-150.uzkurtze-epistemikoa.pdf,JDAC2JVV
Q35367,https://www.inguma.eus/fso/fitxategia/90-ikergazte.iv.01.119-126.larramendiren-hiztegi.pdf,4SKSNI7U
Q35371,https://www.inguma.eus/fso/fitxategia/87-ikergazte.iv.01.93-100.egia-ostearen.pdf,SJ5FIL6X
Q35373,https://www.inguma.eus/fso/fitxategia/85-ikergazte.iv.01.77-84.gorputza-artxiboak.pdf,LAB9AP5F
Q35374,https://www.inguma.eus/fso/fitxategia/153-ikergazte.iv.01.67-75.maitasuna-xabier.pdf,QHL9C66Y
Q35376,https://www.inguma.eus/fso/fitxategia/148-ikergazte.iv.01.51-57.euskararen-biziberritzea.pdf,C3W5BW4Y
Q35380,https://www.inguma.eus/fso/fitxategia/144-ikergazte.iv.01.19-26.zergatik-panpox.pdf,JH23QMX6
Q35389,https://www.inguma.eus/fso/fitxategia/56-ikergazte.iv.05.221-228.biomolekulen-elkarrekintzak.pdf,ASMXWQZ3
Q35390,https://www.inguma.eus/fso/fitxategia/55-ikergazte.iv.05.213-220.gainazaleko-teknika.pdf,MFTKE45K
Q35392,https://www.inguma.eus/fso/fitxategia/135-ikergazte.iv.05.197-203.foto-polimerizazio.pdf,AYJJXLPB
Q35397,https://www.inguma.eus/fso/fitxategia/49-ikergazte.iv.05.297-303.nikel-estaldura.pdf,VW2N2J56
Q35402,https://www.inguma.eus/fso/fitxategia/45-ikergazte.iv.05.161-168.laser-ultralabur.pdf,J8K2D5UI
Q35405,https://www.inguma.eus/fso/fitxategia/42-ikergazte.iv.05.137-144.sentinel2-irudiekin.pdf,NQ7GJV5E
Q35413,https://www.inguma.eus/fso/fitxategia/35-ikergazte.iv.05.79-85.ontze-denborak.pdf,UYY3MHMV
Q35417,https://www.inguma.eus/fso/fitxategia/30-ikergazte.iv.05.53-58.gaur-egungo.pdf,EJ6XHHVJ
Q35423,https://www.inguma.eus/fso/fitxategia/138-ikergazte.iv.03.193-200.eraikuntzan-erabiltzen.pdf,PQR7HEQE
Q35426,https://www.inguma.eus/fso/fitxategia/82-ikergazte.iv.03.169-176.partizioen-konfigurazioaren.pdf,U4WZJC9W
Q35433,https://www.inguma.eus/fso/fitxategia/75-ikergazte.iv.03.115-121.aluminioaren-emisibitate.pdf,2TMK3979
Q35437,https://www.inguma.eus/fso/fitxategia/71-ikergazte.iv.03.81-89.industria-eolikoko.pdf,82B52Y89
Q35439,https://www.inguma.eus/fso/fitxategia/69-ikergazte.iv.03.65-71.instalazio-termikoen.pdf,UAR4H55W
