oocc_item,oocc_st,oocc_id,lehen_argi,oocc_text,jatorrizko_argitalpena,jat_date,jat_tit
https://wikibase.inguma.eus/entity/Q44484,https://wikibase.inguma.eus/entity/statement/Q44484-F24CD186-92CC-447B-A049-C5F5D8E3F34A,318,1961,"P. M. Urruzuno, «Euskalerritik zerura» ta beste ipui batzuk, Egan 1961 [4-6], 257 [= MEIG III, 68-69]. → XIII 548",https://wikibase.inguma.eus/entity/Q45021,1988-01-01T00:00:00Z,"P. M. Urruzuno, «Euskalerritik zerura» ta beste ipui batzuk"
https://wikibase.inguma.eus/entity/Q44483,https://wikibase.inguma.eus/entity/statement/Q44483-530FED6B-0F0B-4698-BD72-FEA1BE023B44,319,1961,"L. Villasante, Historia de la literatura vasca, Egan 1961 [4-6], 253-255 [= MEIG III, 65-67]. → XIII 207-209",https://wikibase.inguma.eus/entity/Q45022,1988-01-01T00:00:00Z,"L. Villasante, Historia de la literatura vasca"
https://wikibase.inguma.eus/entity/Q44481,https://wikibase.inguma.eus/entity/statement/Q44481-7C7C62BF-2849-4FF4-9638-077B8B0548EC,320,1961,"L. Villasante, ‘Nere izena zan Plorentxi’. Angeles Sorazuren bizitza, Egan 1961 [1-3], 149-150 [= MEIG III, 60-61]. → XIII 549-550",https://wikibase.inguma.eus/entity/Q44862,1988-01-01T00:00:00Z,"L. Villasante, ‘Nere izena zan Plorentxi’. Angeles Sorazuren bizitza"
https://wikibase.inguma.eus/entity/Q44478,https://wikibase.inguma.eus/entity/statement/Q44478-56AC4BDA-C901-4639-B09F-16661B656CF4,324,1962,"«[jopu, probestu, merio, amabi, etab.] [Adabakiak]», Egan 1962 [4-6], 298-302 [= MEIG I, 225-229]. → VIII 325-329",https://wikibase.inguma.eus/entity/Q44940,1988-01-01T00:00:00Z,"jopu, probestu, merio, amabi, etab. [Adabakiak]"
https://wikibase.inguma.eus/entity/Q44474,https://wikibase.inguma.eus/entity/statement/Q44474-3ED7A138-5E3E-41EB-AE4A-EFCB59A52544,328,1962,"«[zatekean, jabetu, luze-laburra, Oñatiko San Migelen prakak] [Adabakiak]», Egan 1962 [1-3], 77-81 [= MEIG I, 219-224]. → VIII 319-324",https://wikibase.inguma.eus/entity/Q45098,1988-01-01T00:00:00Z,"zatekean, jabetu, luze,laburra, Oñatiko San Migelen prakak [Adabakiak]"
https://wikibase.inguma.eus/entity/Q44473,https://wikibase.inguma.eus/entity/statement/Q44473-47B6B9DC-80EE-4302-A35F-83DA395B1729,329,1962,"[T. Alzaga] P. Loti [R. Figueroa Torres], Ramuntxo, Egan 1962 [1-3], 89 [= MEIG III, 81]. → XIII 303",https://wikibase.inguma.eus/entity/Q44856,1988-01-01T00:00:00Z,"[T. Alzaga] P. Loti [R. Figueroa Torres], Ramuntxo"
https://wikibase.inguma.eus/entity/Q44470,https://wikibase.inguma.eus/entity/statement/Q44470-250D9E0A-8833-4FF5-8EE1-0A2E98C09185,331,1962,"A. Anabitarte, Aprika-ko basamortuan, Egan 1962 [4-6], 312-313 [= MEIG III, 102-103].; A. Anabitarte, Aprika-ko basamortuan, Egan 1962 [4-6], 312-313 [= MEIG III, 102-103]. → XIII 309-310",https://wikibase.inguma.eus/entity/Q44857,1988-01-01T00:00:00Z,"A. Anabitarte, Aprika,ko basamortuan"
https://wikibase.inguma.eus/entity/Q44469,https://wikibase.inguma.eus/entity/statement/Q44469-13DE0C69-64A3-4746-907C-9D942A282303,332,1962,"[A. Apaolaza, A. Trueba], Patxiko Txerren, Egan 1962 [1-3], 90 [= MEIG III, 82]. → XIII 316",https://wikibase.inguma.eus/entity/Q44858,1988-01-01T00:00:00Z,"A. Apao[A. Apaolaza, A. Trueba, Patxiko Txerrenlaza, A. Trueba]"
https://wikibase.inguma.eus/entity/Q44467,https://wikibase.inguma.eus/entity/statement/Q44467-39BE5178-95EA-4520-8B40-2562BE280FF9,334,1962,"«Auspoa» liburutegia [I], Egan 1962 [1-3], 89 [= MEIG III, 81]. → XIII 342",https://wikibase.inguma.eus/entity/Q44941,1988-01-01T00:00:00Z,"«Auspoa» liburutegia [I], Egan 1962 [1,3]"
https://wikibase.inguma.eus/entity/Q44466,https://wikibase.inguma.eus/entity/statement/Q44466-94CA8BA1-6A21-4D45-9B2C-404423350FCB,335,1962,"«Auspoa» liburutegia [II], Egan 1962 [4-6], 305-306 [= MEIG III, 94-95]. → XIII 343",https://wikibase.inguma.eus/entity/Q44944,1988-01-01T00:00:00Z,"«Auspoa» liburutegia [II], Egan 1962 [4,6]"
