entity	label	aipu	oocc_item	oocc_pages	ref_pages	pdf
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-9B170F14-EA1F-4608-95B3-B29BDC24D830	https://wikibase.inguma.eus/entity/Q44700	346-349	XIII: 348	268Y82TN
https://wikibase.inguma.eus/entity/Q47306	Petronio	https://wikibase.inguma.eus/entity/statement/Q47306-762D1352-082B-4A45-92FC-22F7DBB9CDF4	https://wikibase.inguma.eus/entity/Q44094	229-250	XI: 230	XNWYAHSH
https://wikibase.inguma.eus/entity/Q47307	Pevney J.	https://wikibase.inguma.eus/entity/statement/Q47307-EA2D7165-94EA-4BCD-877A-B28458A86457	https://wikibase.inguma.eus/entity/Q44590	451-454	XIV: 452	8MT98JGG
https://wikibase.inguma.eus/entity/Q47308	Pfänder A.	https://wikibase.inguma.eus/entity/statement/Q47308-80DE747B-C7E7-489B-8C1C-BB90AAE3A5A4	https://wikibase.inguma.eus/entity/Q44103	555-569	X: 557	DFXQ9W5G
https://wikibase.inguma.eus/entity/Q47308	Pfänder A.	https://wikibase.inguma.eus/entity/statement/Q47308-5BD980BF-6DE2-4398-B658-8DDD53A8D862	https://wikibase.inguma.eus/entity/Q44302	117-158	I: 157	ALMA6CYY
https://wikibase.inguma.eus/entity/Q47309	Philipon E.	https://wikibase.inguma.eus/entity/statement/Q47309-B396B8E5-8D7E-4305-8F54-B673D110669A	https://wikibase.inguma.eus/entity/Q44192	17-35	III: 19 n. 5	8544FFZ5
https://wikibase.inguma.eus/entity/Q47309	Philipon E.	https://wikibase.inguma.eus/entity/statement/Q47309-D15CC432-B008-4711-832D-D4DED3EDF592	https://wikibase.inguma.eus/entity/Q44372	197-243	V: 217	64HLZ7FG
https://wikibase.inguma.eus/entity/Q47310	Piaget J.	https://wikibase.inguma.eus/entity/statement/Q47310-565B073F-3061-4CCF-8BA8-842F08DFB757	https://wikibase.inguma.eus/entity/Q44274	175-280	II: 249, II: 261	YHKGRKY9
https://wikibase.inguma.eus/entity/Q47310	Piaget J.	https://wikibase.inguma.eus/entity/statement/Q47310-C4BFB90D-E7E8-4A0C-B9BC-3CC5586D7A38	https://wikibase.inguma.eus/entity/Q44282	81-108	II: 92	X6QWAKXU
https://wikibase.inguma.eus/entity/Q47310	Piaget J.	https://wikibase.inguma.eus/entity/statement/Q47310-7CDA0B29-C82B-4F95-9B39-7AF2BA19714B	https://wikibase.inguma.eus/entity/Q44283	159-180	I: 169	YKHQWR8W
https://wikibase.inguma.eus/entity/Q47311	Picabea R.	https://wikibase.inguma.eus/entity/statement/Q47311-5494A7AB-573B-437B-B928-952529D58CF1	https://wikibase.inguma.eus/entity/Q44232	169-172	XIV: 171	3E7X4KKS
https://wikibase.inguma.eus/entity/Q47311	Picabea R.	https://wikibase.inguma.eus/entity/statement/Q47311-B7ABFC28-571F-4CE7-A5B1-E2A9381FD09A	https://wikibase.inguma.eus/entity/Q44247	153-156	XIV: 155	6UCNGGZ8
https://wikibase.inguma.eus/entity/Q47311	Picabea R.	https://wikibase.inguma.eus/entity/statement/Q47311-EE1DE5FA-345A-4960-91C0-79001124A0F0	https://wikibase.inguma.eus/entity/Q44288	121-137	XIV: 124	WES2M5G5
https://wikibase.inguma.eus/entity/Q47312	Picot E.	https://wikibase.inguma.eus/entity/statement/Q47312-0FB9D1C4-B2BA-470D-866A-001FD8462790	https://wikibase.inguma.eus/entity/Q44400	1-197	XII: 11	PVQIHUN5
