artikulua	wd	wd_upload	statement	reference
https://wikibase.inguma.eus/entity/Q34498	Q76507354	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507354-4EBEA657-FD39-4968-A836-9B0AD74068F4	a97343400666746f0900a6b634e1698160061845
https://wikibase.inguma.eus/entity/Q22173	Q77312124	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312124-C1AFF153-953C-4AEF-94A6-708A1AB1BBDE	7301d75818c8d369b40c965c3d32c41c1dec7459
https://wikibase.inguma.eus/entity/Q34719	Q76507909	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507909-A06ED629-9B6A-483F-A0BC-972284BFB191	55ec99dd32a4125c1417c0fbf8971155771218b1
https://wikibase.inguma.eus/entity/Q28409	Q76507267	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507267-90B66750-6528-43B3-BF0C-DF4F72EE4D03	97da594be5a938da1ab28d05b8dc24c2a2bf0a39
https://wikibase.inguma.eus/entity/Q16335	Q77311861	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311861-5D4D7DF8-9D7F-4FCC-B447-68013765C1D4	b575a56945772fc878c345ddadc5dee1a4700c0e
https://wikibase.inguma.eus/entity/Q34507	Q76507346	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507346-062772BF-8564-494C-9CC8-4BB51A19B8C4	c5e3aed645c29afd937d6e668251160c06021707
https://wikibase.inguma.eus/entity/Q13238	Q130761022	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761022-A501EAB4-3926-4565-A35C-05A428982719	7c31084ec2b46c5649309a83f69852497eebc8a2
https://wikibase.inguma.eus/entity/Q13237	Q130762110	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130762110-EF974439-DDFB-420C-A5E0-023558B3D85F	c07dc09a9e3ca1e88ceb82abcce9c7f69a19be37
https://wikibase.inguma.eus/entity/Q34732	Q76507891	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507891-2E45B3A8-7EA7-4088-8718-1F3467863F2F	b55f19991c97b5bbfc10451ed49575e70b223248
https://wikibase.inguma.eus/entity/Q23722	Q77312259	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312259-B8D8039E-22C0-4540-B57B-D7F2DB38B500	e9b61be046616c718e826205100b5a52665a0a56
