artikulua	wd	p1guid	inguma	title	data	wd_egileak	issue	sp	ep	doi	ojs_landing	pdf	wd_upload
https://wikibase.inguma.eus/entity/Q34644	Q76507751	https://wikibase.inguma.eus/entity/statement/Q34644-859B100B-3229-4613-A283-A09FBA16D696	kant-en-etikaren-eduki-eta-arazo-nagusiak	Kant-en etikaren eduki eta arazo nagusiak	1994-01-01T00:00:00Z	"""1"": ""Q55999383"""	12	23	36		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3793	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3793/3902	
https://wikibase.inguma.eus/entity/Q34452	Q76507403	https://wikibase.inguma.eus/entity/statement/Q34452-E00130A9-1CAB-4B25-87F6-DC76BD30F300	nazionalismo-erradikal-berria-1959-1974-galizia-katalunia-eta-euskadiko	Nazionalismo erradikal berria (1959-1974): Galizia, Katalunia eta Euskadiko...	2000-01-01T00:00:00Z	"""1"": ""Q19290709"""	32	103	116		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4030	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4030/4139	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q34592	Q76507626	https://wikibase.inguma.eus/entity/statement/Q34592-E80491E2-4A9C-428A-9928-DFBB86343B66	erdi-aroko-gizartea-gaisotasunaren-aurrean-erantzunak-eta-jarrerak	Erdi Aroko gizartea gaisotasunaren aurrean: erantzunak eta jarrerak	1996-01-01T00:00:00Z	"""1"": ""Q99731673"""	18	17	39		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3858	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3858/3967	2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q34608	Q76507587	https://wikibase.inguma.eus/entity/statement/Q34608-2B40A7C6-BD5D-4C3A-B9B8-08DC27CC139B	iturrien-erabilera-eta-tamainak-egituraz-zehaztuaz-refranes-y-sentencias	Iturrien erabilera eta tamainak egitura(z) zehaztuaz: Refranes y Sentencias...	1996-01-01T00:00:00Z	"""1"": ""Q941098"""	16	21	55		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3836	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3836/3945	
https://wikibase.inguma.eus/entity/Q14063	Q130763843	https://wikibase.inguma.eus/entity/statement/Q14063-6D19D661-2233-43B1-937C-EEF49184F505	datu-babesaren-arautzea-europar-batasunean-eta-espainian-garapena-eta-egungo-markoa	Datu-babesaren arautzea Europar Batasunean eta Espainian: garapena eta egungo markoa	2021-01-01T00:00:00Z	"""1"": ""Q114380225"""	116	115	140	10.26876/uztaro.116.2021.6	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4936	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4936/5045	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13423	Q130763201	https://wikibase.inguma.eus/entity/statement/Q13423-D6C579D9-F2A9-43A6-A3B1-0D756D6439DF	emakume-marokoarra-europara-doan-migrazio-fluxuaren-bektore-ekonomiko-eta-sozial-gisa-marokoko-familia-kodearen-aplikaezintasun-praktikoaren-aurrean	Emakume marokoarra Europara doan migrazio-fluxuaren bektore ekonomiko eta sozial gisa, Marokoko Familia Kodearen aplikaezintasun praktikoaren aurrean	2022-01-01T00:00:00Z	"""1"": ""Q130759860"""	120	5	24	10.26876/uztaro.120.2022.1	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4976	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4976/5085	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q19733	Q77312054	https://wikibase.inguma.eus/entity/statement/Q19733-2EDCB0AA-F290-47D4-8343-2FD5952564BA	ikuskaria-eta-igarkizuna-honela-mintzatu-zen-zaratustraren-irakurketa-espektrala	Ikuskaria eta igarkizuna. Honela mintzatu zen Zaratustraren irakurketa espektrala	2013-01-01T00:00:00Z	"""1"": ""Q35238089"""	85	31	46	10.26876/uztaro.85.2013.2	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4510	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4510/4619	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q23668	Q77312266	https://wikibase.inguma.eus/entity/statement/Q23668-31DD3B0F-DF42-4221-A9FD-6D6BE14B6585	kristau-elizak-kristau-herriarenak-ikerketa-zail-baten-oinarriak	"""Kristau-elizak, kristau-herriarenak"": ikerketa zail baten oinarriak"	2009-01-01T00:00:00Z	"""1"": ""Q104668646"", ""2"": ""Q104668647"""	71	31	42		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4399	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4399/4508	2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q16521	Q130763086	https://wikibase.inguma.eus/entity/statement/Q16521-C590EC5A-0B63-4391-997F-DC5C7B8062E0	giza-eta-gizarte-zientziak-komunikazioaren-ikuspegiti-1990-2015-eta-haratago	Giza eta Gizarte Zientziak Komunikazioaren ikuspegiti: 1990-2015 eta haratago	2017-01-01T00:00:00Z	"""1"": ""Q104668599"""	100	73	81	10.26876/uztaro.100.berezia.2017.12	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4653	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4653/4762	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q22414	Q77312186	https://wikibase.inguma.eus/entity/statement/Q22414-18AE046D-BB4F-4752-B6DD-CFCD2EB1FA01	bokatiboa-eta-gaitasun-prosodikoa-lehen-urratsak	Bokatiboa eta gaitasun prosodikoa: lehen urratsak	2011-01-01T00:00:00Z	"""3"": ""Q99165233"", ""1"": ""Q104668667"", ""4"": ""Q12260040"", ""2"": ""Q99164367"""	79	5	23	10.26876/uztaro.79.2011.1	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4466	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4466/4575	
