Leu,pos,alias,Deu,Les,Lfr,Len,wd,source_url,source_title
gaia emanda,Q8375,,Gai-jartzaile batek emandako gai jakin baten inguruan bertsotan aritzean datzan ariketa.,imposed theme,intervention thématique,imposed theme,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
ganbarako lan,Q8371,kartzelako lan,"Bertsoaldi mota bat da, non bertsolari batek eman dioten gai bati buruzko bere bertsoa aparteko gela batean prestatzen du, beste bertsolarien bertsoak entzun gabe.",cárcel-intervención,travail post-carcéral,prison work,,https://bertsoa.eus/albisteak/8796-kartzelako-lana-ganbarako-lana-izango-da-aurrerantzean,https://bertsoa.eus/albisteak/8796-kartzelako-lana-ganbarako-lana-izango-da-aurrerantzean
Gipuzkoako Bertsolari Txapelketa,Q8371,,Gipuzkoako bertsolarien artean egiten den txapelketa.,Campeonato de Bertsolaris de Gipzukoa,Championnat de Bertsolaris de Guipuscoa,Gipuzkoa Bertsolari Championship,Q12258512,https://www.bertsozale.eus/eu/txapelketak/gipuzkoa/gipuzkoako-bertsolari-txapelketa,https://www.bertsozale.eus/eu/txapelketak/gipuzkoa/gipuzkoako-bertsolari-txapelketa
hamarreko,Q8371,,"Bertsogintzan, hamar lerro eta bost puntu dituen bertso mota.",hamarreko,hamarreko,hamarreko,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
hamarreko handi,Q8371,hamarreko nagusi,"Bertsogintzan, lerro bakoitiak hamar silabakoak eta bikoitiak zortzikoak dituen hamarrekoa.",hamarreko mayor,hamarreko majeur,hamarreko mayor,Q16517472,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
hamarreko txiki,Q8371,,"Bertsogintzan, lerro bakoitiak zazpi silabakoak eta bikoitiak seikoak dituen hamarrekoa.",hamarreko menor,hamarreko mineur,hamarreko minor,Q16517475,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
hankaluzea sartu,Q8373,,"Bertsotan aritzerakoan, neurrian sartzen den silaba kopurua gainditzea.",hankaluze,hankaluze,hankaluze,,https://bertsoikasgela.eus/baliabideak/800/,https://bertsoikasgela.eus/baliabideak/800/
hankamotz gelditu,Q8373,,"Bertsotan aritzerakoan, neurrian behar dituen silaba kopurura ez iristea.",hankamotz,hankamotz,hankamotz,,https://bertsoikasgela.eus/baliabideak/800/,https://bertsoikasgela.eus/baliabideak/800/
hasierako agur,Q8371,,Bertso saioaren hasieran botatzen den bertsoa.,bertsos de salutación,bertsos de bienvenue,bertsos of greeting,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
hiztegi errimatu,Q8371,,Hitzak errimen arabera sailkatzen dituen hiztegia.,diccionario de rimas,dictionnaire des rimes,rhyming dictionary,,https://en.wikipedia.org/wiki/Rhyming_dictionary,https://en.wikipedia.org/wiki/Rhyming_dictionary
kopla,Q8371,kobla,"Tradizio handia duten eta oso erabiliak diren neurri laburragoko bertsoak, bi puntukoak oro har.",copla,couplet,couplet,,,
kopla handi,Q8371,,10 eta 8 silabako bi ahapaldi dituen kopla neurria.,kopla mayor,kopla majeure,kopla mayor,Q115983163,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
kopla txiki,Q8371,,7 eta 6 silabako bi ahapaldi dituen kopla neurria.,kopla menor,kopla mineure,kopla minor,Q115983078,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
kopla zahar,Q8371,,"Eske bertso zaharrak bereziki, ahozko tradizio literario handikoak-",kopla zahar,kopla zahar,kopla zahar,Q12261610,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
koplakari,"Q8371,Q8377","koplakari, koblakari","1. Koplak ontzen edo ematen dituen bertsolaria. 2. Iparraldean, bertsolariari koblakari esaten diote beste gabe.",rimador,improvisateur,improviser,,,
mahai-inguruko saio,Q8371,,Otordu baten ostean egiten den bertso saio librea.,actuación de sobremesa,représentation d'après repas,post-prandial session,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
Nafarroako Bertsolari Txapelketa,Q8371,,Nafarroako bertsolarien artean egiten den txapelketa.,Campeonato de Bertsolaris de Navarra,Championnat de Bertsolaris de Navarre,Navarre Bertsolari Championship,Q12264647,https://www.bertsozale.eus/eu/txapelketak/nafarroa/nafarroako-bertsolari-txapelketa,https://www.bertsozale.eus/eu/txapelketak/nafarroa/nafarroako-bertsolari-txapelketa
neurri,Q8371,,Neurtitzak izan behar dituen silaba klase eta zenbatekoa.,métrica,métrique,metre,Q89522629,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
ofizioka,Q8375,,"Bertsolaritzan, bertsolari bakoitzak gai-jartzaileak emandako rola jokatzen duela.",rol asignado,rôle affecté,assigned role,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
oholtza,Q8371,,"Bertso saioetan, bertsolariei altuera gehiago ematen dien euskarri fisikoa.",escenario,scène,stage,Q194428,https://en.wikipedia.org/wiki/Stage_(theatre),https://en.wikipedia.org/wiki/Stage_(theatre)
oin,Q8371,,"Euskal bertsoetan, errima duen hitza, puntu bakoitzaren bukaeran doana.",pie,pied,foot,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
oinak emanda,Q8375,,Bertsolariak gai-jartzaileak oinak emanda bertsoa osatzean datzan ariketa.,pies forzados,pieds forcés,forced feet,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
pastoral,Q8371,,"Zuberoan egiten den herri-antzerkia da, hasieratik amaiera arte bertsoz kantatzen dena.",pastoral,pastorale,pastoral,Q3098275,https://eu.wikipedia.org/wiki/Pastoral,https://eu.wikipedia.org/wiki/Pastoral
poto,Q8371,,Bertsolariak oin bera esanahi beraz bertsoaren bi puntutan errepikatzean egiten duen hutsa.,poto,poto,poto,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
poto egin,Q8373,,Bertsolariak oin bera esanahi beraz bertsoaren bi puntutan errepikatu.,cometer poto,faire poto,commit poto,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
puntu,Q8371,,"Euskal bertsoetan, oinetik oinerako esaldia.",punto,point,point,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
puntua emanda,Q8375,,Gai-jartzaileak lehen puntua emanda bertsoa osatzean datzan ariketa.,arranque forzado,démarrage forcé,forced start-up,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
puntuka,Q8375,"puntutan, puntu-erantzun","Bertsolari bakoitzak puntu bat kantatuz, denen artean bertsoa osatzen dutela.",punto corrido,point suivi,running rhymes,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
txapel,Q8371,,"Bertso-txapelketetan, garaile gertatzen denari ematen zaiona.",txapela,txapela,txapela,Q211718,https://eu.wikipedia.org/wiki/Txapel,https://eu.wikipedia.org/wiki/Txapel
Xilaba Bertsulari Xapelketa,Q8371,Iparraldeko Bertsolari Txapelketa,Ipar Euskal Herriko bertsolarien artean egiten den txapelketa.,Campeonato de Bertsolaris de Iparralde,Championnat de Bertsularis du Pays Basque Nord,Northern Basque Country Bertsolari Championship,Q12259682,https://www.bertsozale.eus/eu/txapelketak/lapurdi-baxenabarre-zuberoa/xilaba-bertsulari-xapelketa,https://www.bertsozale.eus/eu/txapelketak/lapurdi-baxenabarre-zuberoa/xilaba-bertsulari-xapelketa
ziri bertso,Q8371,ziri-bertso,Bertso satirikoa.,bertso satírico,bertso satirique,satirical bertso,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
zortziko,Q8371,,Zortzi lerro eta lau puntu dituen euskal bertso mota.,zortziko,zortziko,zortziko,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
zortziko handi,Q8371,zortziko nagusi,"Euskal bertso mota, 10 eta 8 silabako zortzi lerroz osatua dena eta 8 silabako lerroetan puntua duena.",zortziko mayor,zortziko majeur,zortziko mayor,Q16519331,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
zortziko txiki,Q8371,,"Euskal bertso mota, 7 eta 6 silabako zortzi lerroz osatua dena eta 6 silabako lerroetan puntua duena.",zortziko menor,zortziko mineur,zortziko minor,Q16519334,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
