izena	bdb_id
Migel Arozamena	https://bdb.bertsozale.eus/web/haitzondo/view/283-migel-arozamena
Manuel Arozamena	https://bdb.bertsozale.eus/web/haitzondo/view/284-manuel-arozamena
Estitxu Arozena	https://bdb.bertsozale.eus/web/haitzondo/view/285-estitxu-arozena
Eneko Arrate Sololuze	https://bdb.bertsozale.eus/web/haitzondo/view/3175-eneko-arrate-sololuze
Manolo Arozena	https://bdb.bertsozale.eus/web/haitzondo/view/287-manolo-arozena
Jagoba Arrasate	https://bdb.bertsozale.eus/web/haitzondo/view/290-jagoba-arrasate
Joseba  Arregi "Altzu"	https://bdb.bertsozale.eus/web/haitzondo/view/292-joseba-arregi-altzu
Joakin  Arregi "Txe"	https://bdb.bertsozale.eus/web/haitzondo/view/293-joakin-arregi-txe
Maddalen Arrausi	https://bdb.bertsozale.eus/web/haitzondo/view/3239-maddalen-arrausi
Xabier  Arriaga "Txiplas"	https://bdb.bertsozale.eus/web/haitzondo/view/300-xabier-arriaga-txiplas
Jess Arriada	https://bdb.bertsozale.eus/web/haitzondo/view/301-jess-arriada
Bautista Arribillaga	https://bdb.bertsozale.eus/web/haitzondo/view/302-bautista-arribillaga
Agustin  Arrieta "Ibergun"	https://bdb.bertsozale.eus/web/haitzondo/view/304-agustin-arrieta-ibergun
Mikel Arrillaga	https://bdb.bertsozale.eus/web/haitzondo/view/306-mikel-arrillaga
Antton Arriola	https://bdb.bertsozale.eus/web/haitzondo/view/309-antton-arriola
Josu  Arriola "Traman"	https://bdb.bertsozale.eus/web/haitzondo/view/310-josu-arriola-traman
Andere Arriolabengoa	https://bdb.bertsozale.eus/web/haitzondo/view/314-andere-arriolabengoa
Iker Pastor	https://bdb.bertsozale.eus/web/haitzondo/view/3113-iker-pastor
Florentzio Zarraga	https://bdb.bertsozale.eus/web/haitzondo/view/1948-florentzio-zarraga
Patxi Zeberio	https://bdb.bertsozale.eus/web/haitzondo/view/1952-patxi-zeberio
Xabier  Zeberio "Zeberio I"	https://bdb.bertsozale.eus/web/haitzondo/view/1953-xabier-zeberio-zeberio-i
Arkaitz Zelaia	https://bdb.bertsozale.eus/web/haitzondo/view/1957-arkaitz-zelaia
Iñaki Zelaia	https://bdb.bertsozale.eus/web/haitzondo/view/1959-iaki-zelaia
Josu  Zelaia "Bidani"	https://bdb.bertsozale.eus/web/haitzondo/view/1963-josu-zelaia-bidani
Koldo  Zelaia "Etxeberri"	https://bdb.bertsozale.eus/web/haitzondo/view/1964-koldo-zelaia-etxeberri
Patxi Zelaia	https://bdb.bertsozale.eus/web/haitzondo/view/1965-patxi-zelaia
Egoitz Zelaia	https://bdb.bertsozale.eus/web/haitzondo/view/1966-egoitz-zelaia
Julen Zelaieta	https://bdb.bertsozale.eus/web/haitzondo/view/1968-julen-zelaieta
Nikolas Zendoia	https://bdb.bertsozale.eus/web/haitzondo/view/1969-nikolas-zendoia
Aurelio Zendoia	https://bdb.bertsozale.eus/web/haitzondo/view/1970-aurelio-zendoia
Aritz Zerain	https://bdb.bertsozale.eus/web/haitzondo/view/1972-aritz-zerain
Iker Zubeldia	https://bdb.bertsozale.eus/web/haitzondo/view/1982-iker-zubeldia
Miel Frantzisko  Zubeldia "Artxanberri"	https://bdb.bertsozale.eus/web/haitzondo/view/1984-miel-frantzisko-zubeldia-artxanberri
Felix Zubia	https://bdb.bertsozale.eus/web/haitzondo/view/1986-felix-zubia
Eusebio Zubiaga	https://bdb.bertsozale.eus/web/haitzondo/view/1987-eusebio-zubiaga
