"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q454847"	"https://wikidata.org/wiki/Q454847"	"Amaranth (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460345
https://wikidata.org/wiki/Q19847189"	"https://wikidata.org/wiki/Q3142
https://wikidata.org/wiki/Q429220"			"amaranto"	"https://es.wikipedia.org/wiki/Amaranto_(color)"	"amaranth"	"https://en.wikipedia.org/wiki/Amaranth_(color)"	"amarante"	"https://fr.wikipedia.org/wiki/Amarante_(couleur)"	"amaranto"	"https://it.wikipedia.org/wiki/Amaranto_(colore)"	"Amarant"	"https://de.wikipedia.org/wiki/Amarant_(Farbe)"			"Amarant (color)"	"https://ca.wikipedia.org/wiki/Amarant_(color)"			
"Q373658"	"https://wikidata.org/wiki/Q373658"	"Jungle green"	"https://wikidata.org/wiki/Q1075"	""	"https://wikidata.org/wiki/Q3133"					"jungle green"	"https://en.wikipedia.org/wiki/Jungle_green"													
"Q679355"	"https://wikidata.org/wiki/Q679355"	"Amber (color)"	"https://wikidata.org/wiki/Q1075
https://wikidata.org/wiki/Q376431"	"https://wikidata.org/wiki/Q7460348
https://wikidata.org/wiki/Q19847194"	"https://wikidata.org/wiki/Q943
https://wikidata.org/wiki/Q39338"			"ámbar"	"https://es.wikipedia.org/wiki/Ámbar_(color)"	"amber"	"https://en.wikipedia.org/wiki/Amber_(color)"	"ambre"	"https://fr.wikipedia.org/wiki/Ambre_(couleur)"	"ambra"	"https://it.wikipedia.org/wiki/Ambra_(colore)"	"Bernsteinfarben"		"âmbar"	"https://pt.wikipedia.org/wiki/Âmbar_(cor)"	"ambre"	"https://ca.wikipedia.org/wiki/Ambre_(color)"	"jantarová"		
"Q679355"	"https://wikidata.org/wiki/Q679355"	"Amber (color)"	"https://wikidata.org/wiki/Q1075
https://wikidata.org/wiki/Q376431"	"https://wikidata.org/wiki/Q7460348
https://wikidata.org/wiki/Q19847194"	"https://wikidata.org/wiki/Q943
https://wikidata.org/wiki/Q39338"			"ámbar"	"https://es.wikipedia.org/wiki/Ámbar_(color)"	"amber"	"https://en.wikipedia.org/wiki/Amber_(color)"	"ambre"	"https://fr.wikipedia.org/wiki/Ambre_(couleur)"	"ambra"	"https://it.wikipedia.org/wiki/Ambra_(colore)"	"Bernsteinfarben"		"âmbar"	"https://pt.wikipedia.org/wiki/Âmbar_(cor)"	"ambre"	"https://ca.wikipedia.org/wiki/Ambre_(color)"	"jantarová"		
"Q2468392"	"https://wikidata.org/wiki/Q2468392"	"Lavender (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q17118741"	"https://wikidata.org/wiki/Q428124"			"lavanda"	"https://es.wikipedia.org/wiki/Lavanda_(color)"	"lavender"	"https://en.wikipedia.org/wiki/Lavender_(color)"	"lavande"	"https://fr.wikipedia.org/wiki/Lavande_(couleur)"	"lavanda"	"https://it.wikipedia.org/wiki/Lavanda_(colore)"	"lavendel"	"https://de.wikipedia.org/wiki/Lavendel_(Farbe)"	"lavanda"		"lavanda"	"https://ca.wikipedia.org/wiki/Lavanda_(color)"			
"Q6568034"	"https://wikidata.org/wiki/Q6568034"	"List of Crayola crayon colors"	"https://wikidata.org/wiki/Q13406463"	""	""			"lista de colores de crayones Crayola"	"https://es.wikipedia.org/wiki/Anexo:Colores_de_crayones_Crayola"	"list of Crayola crayon colors"	"https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors"	"liste des couleurs des crayons Crayola"		"lista dei colori e pastelli Crayola"	"https://it.wikipedia.org/wiki/Colori_e_pastelli_Crayola"									
"Q56273889"	"https://wikidata.org/wiki/Q56273889"	"Android green"	"https://wikidata.org/wiki/Q1075"	""	""					"Android green"	"https://en.wikipedia.org/wiki/Android_green"													
"Q6568034"	"https://wikidata.org/wiki/Q6568034"	"List of Crayola crayon colors"	"https://wikidata.org/wiki/Q13406463"	""	""			"lista de colores de crayones Crayola"	"https://es.wikipedia.org/wiki/Anexo:Colores_de_crayones_Crayola"	"list of Crayola crayon colors"	"https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors"	"liste des couleurs des crayons Crayola"		"lista dei colori e pastelli Crayola"	"https://it.wikipedia.org/wiki/Colori_e_pastelli_Crayola"									
"Q2778382"	"https://wikidata.org/wiki/Q2778382"	"Bronze (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q17079449"	"https://wikidata.org/wiki/Q47071"			"bronce"	"https://es.wikipedia.org/wiki/Bronce_(color)"	"bronze"	"https://en.wikipedia.org/wiki/Bronze_(color)"	"bronze"	"https://fr.wikipedia.org/wiki/Bronze_(couleur)"	"bronzo"	"https://it.wikipedia.org/wiki/Bronzo_(colore)"	"Bronzefarbe"		"bronze"		"bronze"	"https://ca.wikipedia.org/wiki/Bronze_(color)"	"bronzová"		
"Q5005364"	"https://wikidata.org/wiki/Q5005364"	"Fuchsia (color)"	"https://wikidata.org/wiki/Q1075
https://wikidata.org/wiki/Q56053097"	"https://wikidata.org/wiki/Q7460345
https://wikidata.org/wiki/Q19847189"	"https://wikidata.org/wiki/Q429220
https://wikidata.org/wiki/Q3142"	"Fuksia"	"https://eu.wikipedia.org/wiki/Fuksia"	"fucsia"	"https://es.wikipedia.org/wiki/Fucsia"	"fuchsia"	"https://en.wikipedia.org/wiki/Fuchsia_(color)"	"fuchsia"	"https://fr.wikipedia.org/wiki/Fuchsia_(couleur)"	"fucsia"	"https://it.wikipedia.org/wiki/Fucsia"	"Pink"		"fúchsia"		"fúcsia"		"fuchsiová"		
"Q3446513"	"https://wikidata.org/wiki/Q3446513"	"Ruby (color)"	"https://wikidata.org/wiki/Q1075"	""	"https://wikidata.org/wiki/Q3142"			"rubí"		"ruby"	"https://en.wikipedia.org/wiki/Ruby_(color)"	"rubis"	"https://fr.wikipedia.org/wiki/Rubis_(couleur)"	"rubino"	"https://it.wikipedia.org/wiki/Rubino_(colore)"	"Rubinrot"								
"Q7460350"	"https://wikidata.org/wiki/Q7460350"	"Shades of white"	"https://wikidata.org/wiki/Q97380911"	""	"https://wikidata.org/wiki/Q372948"			"variedades de blanco"		"shade of white"	"https://en.wikipedia.org/wiki/Shades_of_white"	"nuance de blanc"				"Weißton"						"odstíny bílé"		
"Q1324818"	"https://wikidata.org/wiki/Q1324818"	"Apricot (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460348
https://wikidata.org/wiki/Q19847194"	"https://wikidata.org/wiki/Q943
https://wikidata.org/wiki/Q39338"			"albaricoque"		"apricot"	"https://en.wikipedia.org/wiki/Apricot_(color)"	"abricot"	"https://fr.wikipedia.org/wiki/Abricot_(couleur)"	"albicocca"	"https://it.wikipedia.org/wiki/Tonalità_di_arancione"	"apricot"				"albercoc"				
"Q372733"	"https://wikidata.org/wiki/Q372733"	"Aqua (color)"	"https://wikidata.org/wiki/Q56053097"	""	"https://wikidata.org/wiki/Q1075"			"aqua"		"aqua"	"https://en.wikipedia.org/wiki/Aqua_(color)"			"acqua"	"https://it.wikipedia.org/wiki/Acqua_(colore)"	"Aqua"				"aqua"				
