id	lemma	pos
386	allankachiy	v.tr.
387	allankaray	v.intr.
388	allankay	v.mov.
389	allapa	adj.
390	allapa	adv.m.
391	allapa	adv.preadj.
392	allapay	v.tr.
393	allapuy	v.tr.
394	allaq	adv.t.
395	allaq	s.
396	allaq	s.a.
397	allarpachiy!	expr.
398	allarpariy	v.tr.
399	allasqa	p.p.p.
400	allatin	adj.
401	allaw!	interj.
402	allawchi!	interj.
403	allawqa	adv.l.
404	allawqa	s.
405	allawsu	s.
406	allay	s.
407	allay	v.tr.
408	allay killa	s.
409	allaysiy	v.tr.
410	allchay	v.tr.
411	allchhi	s.
412	allichakuchiy	v.intr.
413	allichakuy	v.intr.
414	allichakuy	v.intr.
415	allichay	v.tr.
416	allichiy	v.tr.
417	allichu	expr.
418	allichu?	expr.
419	allikachina wasi (ukhu)	s.
420	allikachiy	v.tr.
421	alli kawsayta chariy	v.tr.
422	allikay	adj.
423	allikay	s.
424	allikayaku	s.
425	alliku	s.
426	allikuta ñiy	v.intr.
427	alli law	adj.
428	allillachu kanchik?	expr.
429	allillachu kanki?	expr.
430	allillakay	s.
431	allillamanta	adj.
432	Allillanchu?	expr.
433	Allillanmi!; Allillantaqmi!	expr.
434	allilli	s.
435	allilliq	adj.
436	allin	adj.
437	allin	adj.
438	allin	adj.
439	allin	adv.m.
440	allin	pron.impers.
441	allin-allin	adv.m.
442	allin allinlla	adv.m.
443	allin allpa	s.
444	allinchasqa	p.p.p.
445	allinchay	v.tr.
446	allin chayamusqa uyansa	expr.
447	allinchiq churay	v.tr.
448	allinchiy	v.tr.
449	Allin ch'isi!	expr.
450	allin ch'itikay	s.
451	allin hampiy ruraykuna	s.
452	Allin hamusqa kapay!	expr.
453	Allin hamusqa kapaychik!	expr.
454	allin ima	adj.
455	allin kana	s.
456	allin kasqan	s.pr.
457	allin kasqanta qhawaq	s.
458	allin kawsay	s.
459	allin kawsay hayñi	s.
460	allin kawsay kawpay	s.
461	allin kawsay tarikuq wasi	s.
462	allin kay	s.
463	allinlla	adv.m.
464	Allinlla Musuq Wata!	expr.
465	allinllanta	adv.m.
466	allinlla ñan	expr.
467	Allinlla Raymi!	expr.
468	allinllata ñiy	v.intr.
469	allin maki	s.
470	allin mama	s.
471	allinmanta	adv.m.
472	allin maswa	s.
473	allinmi	adj.
474	allin mikhuy	s.
475	allinnin	s.pr.
476	allinniy	s.
477	allinniyuq	s.p.
478	allin ñawi	adj.
479	allinpaq hap'iy	v.tr.
480	allinpiraq	adv.t.
481	allin puriy	v.intr.
482	Allin p'unchaw!	expr.
483	allin qillqa	s.
484	allin qillqay	s.
485	allinraq	expr.
486	allin rikch'ay	v.intr.
487	allin rikch'ay	v.tr.
488	allin rikuy	expr.
489	allin rikuy	v.intr.
490	allin ruray	s.
491	allin simita chariq	s.a.
492	Allin sukha!	expr.
493	allin sunqu	adj.
494	allin sunqu	s.
495	allin sunquyuq	s.p.
496	allin supay	s.
497	allinta	adv.m.
498	allintaqmi!	expr.
499	allinta ruray	v.intr.
500	allin tayta	s.
501	allin tiyay	s.
502	allin tukuy	v.intr.
503	allin tupay	v.intr.
504	Allin tuta!	expr.
505	allin ukhupi kaq	adj.
506	allin wasa	adj.
507	allin wasa tukuy	v.intr.
508	allin wawa mama	s.
509	allin yachay	v.intr.
510	allinyachiy	v.tr.
511	allinyanakapuy	v.recip.
512	allinyay	s.
513	allinyay	v.intr.
514	allinyay	v.intr.
515	allin yuthu	s.
516	allin yuyanata yachana	adj.
517	allin yuyay	s.
518	allin yuyayta chariq	s.a.
519	allin yuyayta hap'iy	v.intr.
520	allin yuyaywan	adj.
521	allip	adj.
522	allip	adv.preadj.pron.
523	allipacha	adj.
524	allipanakuy	v.recip.
525	alli puchkana	adj.
526	allipunakapuy	v.recip.
527	allipunakuy	v.recip.
528	allipunkapuy	v.tr.
529	allipuy	v.tr.
530	alliq	adv.l.
531	alliq	adv.t.
