id	lemma	pos
13185	Paryaqaqa	s.
13186	Paryaqaqa	s.
13187	Paryaqarqu	s.
13188	Paryaqucha	s.
13189	pasa	s.
13190	pasachiy	v.tr.
13191	pasakana	s.
13192	pasaq	adj.
13193	pasaq	adv.t.
13194	pasaq	s.
13195	pasaq	s.
13196	pasaq kutilla	adv.t.
13197	pasaqlla	adj.
13198	pasaqlla	adv.m.
13199	pasaqllata	adv.m.
13200	pasaqpaq	adv.t.
13201	pasaqta	adv.t.
13202	pasaqtaña	postpos.
13203	pasarikuq	adj.
13204	pasay	v.intr.
13205	pasay	v.mov.
13206	Pasaykamuy!	expr.
13207	pasaypa	adv.m.
13208	pasaypaq	adv.m.
13209	pasayta	adv.t.
13210	paschi	s.
13211	pasikuy	v.intr.
13212	pasima	s.
13213	pasin	s.
13214	pasiy	v.tr.
13215	pasiyarquy	v.intr.
13216	pasiyay	v.mov.
13217	paska	s.
13218	paskachiy	v.tr.
13219	paskaku	s.
13220	paskakuq	s.a.
13221	paskakuy	v.intr.
13222	paska k'uchu	s.
13223	paska k'uchu kimsamanyaychi	s.
13224	paskamaki	adj.
13225	paskama-ukapa	s.
13226	paskana	adv.l.
13227	paskana	s.
13228	paskaray	v.tr.
13229	paska rikra	s.
13230	paskarikusqa p'acha	s.
13231	paskariy	v.impers.
13232	paskasimi	adj.
13233	paskasinqa	s.
13234	paskasqa	p.p.p.
13235	paskasqa makiwan waqtay	v.tr.
13236	paskay	v.tr.
13237	paskay qapchanay	v.tr.
13238	Paskuwa	s.
13239	pasmu p'anqa	s.
13240	paspansu	s.
13241	pasqay	v.tr.
13242	pasqu	s.
13243	Pasqu	s.
13244	Pastasa	s.
13245	pastu	s.
13246	pasu	s.
13247	pasu	s.
13248	pasuku	s.
13249	pasullu	s.
13250	pasuyay	v.intr.
13251	pasu yura	s.
13252	pasyay	v.intr.
13253	Pasyun	s.
13254	Pasyun Krus	s.
13255	Pasyun Krus	s.
13256	pashkil	s.
13257	pata	adj.
13258	pata	adv.l.
13259	pata	adv.l.
13260	pata	postpos.
13261	pata	s.
13262	pata	s.
13263	patacha	s.
13264	pata chaki!	expr.
13265	patachasqa	p.p.p.
13266	patachay	v.tr.
13267	patahawan	s.pr.
13268	patalqa	adj.
13269	patalqayachiy	v.tr.
13270	patalqayay	v.intr.
13271	patam	postpos.
13272	pataman	adv.l.
13273	pata millma	s.
13274	patan	s.
13275	patana	s.
13276	patanchanaku	s.
13277	patanchay	v.tr.
13278	patanñiq	adv.l.
13279	patanpi	adv.l.
13280	pataña	s.
13281	pata-pata	s.
13282	pata patalla puñuy	v.intr.
13283	pata-patan	s.pr.
13284	patapi	adv.l.
13285	patapi	postpos.
13286	pata puna	adj.
13287	pata puna	s.
13288	pataq	adj.
13289	patara	s.
13290	patara	s.
13291	pataran	s.pr.
13292	pataray	v.tr.
13293	patariq	s.a.
13294	patariy	v.tr.
13295	patas	s.
13296	patata	adj.
13297	pata tullu	s.
13298	pata tupuy	s.
13299	pata walli	s.
13300	patay	s.
13301	patay	s.
13302	patay	s.
13303	patay	s.
13304	patay	v.tr.
13305	patayaq	s.
13306	patayay	s.
13307	patayay	v.tr.
13308	patayayku	s.
13309	pata yaykuq	s.
13310	patayku	s.
13311	pataykulla	s.
13312	patikina	s.
13313	patillu	s.
13314	patiy	v.tr.
13315	patku	s.
13316	patma	s.
13317	patma	s.
13318	patma	s.
13319	patmachina	adj.
13320	patmachinapaq llalliq	adj.
13321	patmachiq	s.
13322	patmaki	adj.
13323	patmaku	s.
13324	patmaku	s.
13325	patmama	s.
13326	patman	s.pr.
13327	patmana	s.
13328	patmanta	adj.
13329	patmaq	s.
13330	patmaqa	s.
13331	patmaq sikwi	s.
13332	patmay	v.tr.
13333	patpa	s.
13334	patpay	v.tr.
13335	patpayuq	s.
13336	patrun	s.
13337	patu	s.
13338	Paw!	interj.
13339	paw	pron.indef.
13340	pawa	s.
13341	pawachaku	s.
13342	pawachay	v.tr.
13343	pawa huchha	s.
13344	pawa karunchi	s.
13345	pawalliy	v.tr.
13346	pawallpama	s.
13347	pawarin	s.pr.
13348	Pawas	s.
13349	pawaw	s.
13350	pawaw pallaq	s.
13351	paway	v.tr.
13352	pawaykama	s.
13353	pawaynin	s.pr.
13354	paway yachaqa	s.
13355	pawchi	expr.
13356	pawi	s.
13357	pawikuy	v.intr.
13358	pawka	s.
13359	pawkar	s.
13360	pawkarsillu	s.
13361	pawqar	adj.
13362	pawqar	s.
13363	pawqarchasqa	p.p.p.
13364	pawqarkuna	s.
13365	pawqar pacha pawqar wara	s.
13366	pawqarpata	s.
13367	pawqar p'acha killa	s.
13368	pawqarquri	adj.
13369	pawqar quri	s.
13370	Pawqartampu	s.
13371	pawqartay killa	s.
13372	pawqar unku	s.
13373	pawqarwara	s.
13374	pawqarwara killa	s.
13375	pawqar wara killa	s.
13376	pawqar waray	s.
13377	pawqar waray killa	s.
13378	pawsi	s.
13379	pawsi anka	s.
13380	pay	pron.pers.
13381	paya	adj.
13382	paya	s.
13383	paya	s.
13384	Paya Chaska	s.
13385	payakay	s.
13386	paya killa	s.
13387	paya mama	s.
13388	payaq mama	s.
13389	paya ruk'a	s.
13390	paya warmi	s.
13391	payayay	v.intr.
13392	paycha	s.
13393	paychi	s.
13394	paychu?	expr.
13395	Payi!	interj.
13396	Payilla!	interj.
13397	payilla	s.
13398	payillakuq	adj.
13399	payilla qullqi	s.
13400	payillay	v.tr.
13401	Payi sunqulla!	expr.
13402	payku	pron.pers.
13403	paykuna	pron.pers.
13404	payla	s.
13405	payla rinri	s.
13406	paylla	adj.
13407	paylla	s.
13408	payllapi yuyariq	s.a.
13409	payllataq	adv.m.
13410	paymantalla	adv.m.
13411	paymanta lluqsiq	adj.
13412	Paymanta ñuqapas llakilla kani!	expr.
13413	paypa	pron.pos.
13414	paypachakuy	v.intr.
13415	paypachiq	s.
13416	paypaq ranti	expr.
13417	paypura	adv.m.
13418	payqu	s.
13419	pay rurakuktachari tapuna	expr.
13420	paysahi	s.
13421	pay sunqulla	expr.
13422	Paytiti	s.
13423	paytu	s.
13424	payu	adj.
13425	paywan	pron.pers.
13426	pi?	pron.int.
13427	pichachiy	v.tr.
13428	pichak	s.
13429	Pichakunki	s.
13430	pichakuq	s.
13431	pichakuy	v.intr.
13432	pichampuy	v.tr.
13433	pichamuy	v.tr.
13434	pichana	s.
13435	Pichana	s.
13436	pichana	s.
13437	pichana rikch'ayuq	s.
13438	pichanilla	s.
13439	pichapuy	v.tr.
13440	picharana	s.
13441	pichari	pron.indef.
13442	pichasqa	p.p.p.
13443	pichasqa	s.
13444	pichasqa	s.
13445	pichay	s.
13446	pichay	v.tr.
13447	Pichi	s.
13448	pichi	s.
13449	pichi	s.
13450	pichi	s.
13451	pichi	s.
13452	pichi	s.
13453	pichika	s.
13454	pichiku	s.
13455	pichinchu	s.
13456	pichinku	s.
13457	pichinku	s.
13458	pichirru	s.
13459	pichiwsa	s.
13460	pichiwyay	v.dic.
13461	pichkiy	v.intr.
13462	pichqa	num.c.
13463	Pichqa	s.
13464	pichqa	s.
13465	pichqachay	v.tr.
13466	pichqa chiru	s.
13467	pichqa chunka	num.c.
13468	pichqa kaq	num.o.
13469	pichqa k'uchu	s.
13470	pichqa minutu purina kaqpi	expr.
13471	pichqa ñiqin	num.o.
13472	pichqa ñiqin yachakuna	expr.
13473	pichqa pachak	num.c.
13474	Pichqa Qullqa	s.
13475	Pichqa Quyllur	s.
13476	pichqa runallapas	expr.
13477	pichqa uyayuq qullqa	s.
13478	pichqa uyayuq wamp'ar	s.
13479	pichqa waranqa	num.c.
13480	pichqa wata unaq	s.
13481	pichu	s.
13482	pichu	s.
13483	pichunakuy	v.recip.
13484	pichus	pron.rel.
13485	pichuski	s.
13486	pichuy	v.intr.
13487	pichuy	v.tr.
13488	pichuy	v.tr.
13489	pichwiy	v.tr.
13490	pidasu	s.
13491	pika	s.
13492	pika	s.
13493	pikaltultu	s.
13494	pikana	s.
13495	pikaniyay	v.tr.
13496	pikanti	adj.
13497	pika-pika	s.
13498	pikaq	s.
13499	pikchay	v.intr.
13500	pikchu	s.
13501	pikchuy	v.tr.
13502	piki	s.
13503	piki chaki	adj.
13504	piki chaki	s.
13505	pikichu	adj.
13506	piki hunt'a	adj.
13507	pikikunaman tikrasqas	expr.
13508	Pikillaqta	s.
13509	pikillín	s.
13510	piki pichana	s.
13511	piki-piki	s.
13512	piki qiwa	s.
13513	pikitiyay	v.tr.
13514	piki uchu	s.
13515	pikiy	v.tr.
13516	piksa	s.
13517	piksachu	s.
13518	piktuy	v.tr.
13519	piku	s.
13520	piku	s.
13521	pikuchiy	v.tr.
13522	pikuna?	pron.int.
13523	pikuru	s.
13524	pikuwa	s.
13525	pikwayu	s.
13526	pila	adj.
13527	pila	s.
13528	pilastay	v.mov.
13529	pilay	v.tr.
13530	pilchi	s.
13531	pili	s.
13532	pili chaki	s.
13533	pilikula	s.
13534	pilikula hina ritratu	s.
13535	pilin	s.
13536	pilis	s.
13537	pilischiy	v.tr.
13538	piliya	s.
13539	pilquy	v.intr.
13540	piltay	v.tr.
13541	pilu	s.
13542	piluta	s.
13543	piluta hayt'ay	s.
13544	pilutuy	v.mov.
13545	pilla	s.
13546	pillachay	v.tr.
13547	pillaka llawt'u	s.
13548	pilla kay	s.
13549	pillapas	pron.indef.
13550	pilla t'asra	s.
13551	pilla t'asranira	s.
13552	pillchi	s.
13553	pillchi	s.
13554	pillchi waska	s.
13555	pillillunkuy	s.
13556	pillinku	s.
13557	Pilli-pilli	s.
13558	pilli-pilli	s.
13559	pilli-pilli	s.
13560	pilli-pilli	s.
13561	pillis	s.
13562	pillku	s.
13563	pillkusqa	p.p.p.
13564	pillkuy	v.tr.
13565	pillpa	s.
13566	pillpas	s.
13567	pillpay	v.intr.
13568	pillpintu	s.
13569	pillqu	adj.
13570	pillqu	s.
13571	Pillqu	s.
13572	pillqu	s.
13573	pillquy	v.intr.
13574	pillta	s.
13575	pilltay	v.tr.
13576	pillu	s.
13577	pillu	s.
13578	pillu	s.
13579	pilluchay	v.tr.
13580	pilluku	s.
13581	pillulu	s.
13582	pillunkuy	s.
13583	pillunya	s.
13584	pillurichiy	v.tr.
13585	pillurikuy	v.intr.
13586	pilluy	v.intr.
13587	pilluy	v.tr.
13588	pilluy	v.tr.
13589	pillwinku	s.
13590	pillwinku ñiraq	adj.
13591	pillwinku rikch'ayniyuq imapas	adj.
13592	pillwis	s.
13593	piman?; pimantaq?	pron.int.
13594	pi mayqin	pron.indef.
13595	pimil	s.
13596	pim kay	s.
13597	pim yachan!	expr.
13598	pincha	s.
13599	pinchana qiwa	s.
13600	pinchi	s.
13601	pinchi	s.
13602	pinchikilla	s.
13603	pinchikilla muyuy	s.
13604	pinchikillasqa	adj.
13605	pinchinchu	s.
13606	pinchin kuru	s.
13607	pinchu	s.
13608	pini	s.
13609	pinintin?; pinintintaq?	pron.int.
13610	pinku	s.
13611	pinkullu	s.
13612	pinkuyllu	s.
13613	pinqa	s.
13614	pinqaku	s.
13615	pinqu-pinqu	s.
13616	pinsa qaracha	s.
13617	pinsay	v.tr.
13618	pinsilla	s.
13619	pinta	s.
13620	pinta	s.
13621	pintadillu	s.
13622	pintay	v.tr.
13623	Pintikustis	s.
13624	pintuna	s.
13625	pintuq	s.
13626	pintuq raya	s.
13627	piña	s.
13628	piñaqrusqa	p.p.p.
13629	piñas	s.
13630	piñas	s.adj.
13631	piñaschay	v.tr.
13632	piñaw	s.
13633	piñayta anchuchiy	v.tr.
13634	piñi	s.
13635	piñi	s.
13636	pip?	pron.int.
13637	pipaq?	pron.int.
13638	pipas	pron.indef.
13639	pipas	s.
13640	pipas maypas	pron.indef.
13641	pipata	pron.int.
13642	pipata	pron.int.
13643	pipatapas sunqun aysakuy	v.intr.
13644	pipataq?	pron.int.
13645	pipi	s.
13646	pipikuna?	pron.int.
13647	pipilu	adj.
13648	pipiluchiy	v.tr.
13649	pipinu	s.
13650	pipiti	s.
13651	pipu	adj.
13652	pipu	s.
13653	pipuchay	v.tr.
13654	pipu-pipu awasqa	s.
13655	pipu p'acha	s.
13656	pipuy	v.tr.
13657	piqa	s.
13658	piqa	s.
13659	piqay	v.intr.
13660	piqay	v.tr.
13661	piqtu	s.
13662	piqtuchiy	v.tr.
13663	piqtukuy	v.intr.
13664	piqtumuy	v.tr.
13665	piqtuqrusqa	p.p.p.
13666	piqtusqa	p.p.p.
13667	piqtuy	v.intr.
13668	piqtuy	v.tr.
13669	piqu	s.
13670	piqwachiy	v.tr.
13671	pira	s.
13672	piraña; paña	s.
13673	pirasqa	p.p.p.
13674	piratay	v.cop.
13675	pirayku?	adv.int.
13676	pirdichiy	v.tr.
13677	pirdiy	v.tr.
13678	pirdunay	v.tr.
13679	piri-piri	s.
13680	pirna	s.
13681	pirqa	s.
13682	pirqa	s.
13683	pirqachay	v.tr.
13684	pirqachiy	v.tr.
13685	pirqakuy	v.tr.
13686	pirqa llimp'i	s.
13687	pirqamuy	v.tr.
13688	pirqapi, punkupi churana qillqa	s.
13689	pirqapuy	v.tr.
13690	pirqaq	s.a.
13691	pirqa qillqana	s.
13692	pirqa siq'i	s.
13693	pirqasqa	p.p.p.
13694	pirqa thuñiykamun	expr.
13695	pirqay	v.tr.
13696	pirqay kamayuq	s.
13697	pirqaysiy	v.tr.
13698	piru	conj.
13699	pirul	s.
13700	Piruw	s.
13701	piruwanu	adj.
13702	piruwanu	s.
13703	Piruw suyu qhawaq kamasqakuna	s.
13704	pirwa	s.
13705	pirwa	s.
13706	pirwa	s.
13707	Pirwa	s.
13708	pirwa	s.
13709	pirway	s.
13710	pirway	v.tr.
13711	pirwayay	s.
13712	piryay	v.mov.
13713	pis	s.
13714	pis! pis!	interj.
13715	pisada	s.
13716	pisay	v.intr.
13717	pisay	v.tr.
13718	pisi	adj.
13719	pisi	s.
13720	pisichakapuy	v.tr.
13721	pisichana	s.
13722	pisichasqa	p.p.p.
13723	pisichay	s.
13724	pisichay	v.tr.
13725	pisichay	v.tr.
13726	pisichisqa	p.p.p.
13727	pisi kallpa	adj.
13728	pisi kay	s.
13729	pisilinga	s.
13730	pisilla	adj.
13731	pisillam waska	expr.
13732	pisillapaq	adj.
13733	pisimanta pisi	adv.m.
13734	pisinga	adj.
13735	pisinga	s.
13736	pisi ñawiyuq	adj.
13737	pisipa	adj.
13738	pisi pachapi	adv.t.
13739	pisipachiy	v.tr.
13740	pisipaqrusqa	p.p.p.
13741	pisipasqa	p.p.p.
13742	pisipay	adj.
13743	pisipay	s.
13744	pisipay	v.intr.
13745	pisipayay	v.tr.
13746	pisipaypi	adj.
13747	pisi-pisimanta	adv.m.
13748	pisi p'achayuq	s.p.
13749	pisi qillqa	s.
13750	pisiri	s.
13751	pisirichikuy	v.tr.
13752	pisi rinriyuq	adj.
13753	pisirpayay	v.tr.
13754	pisisqa	p.p.p.
13755	pisi sunqu	adj.
13756	pisisunqu kay	s.
13757	pisi uma	s.
13758	pisi waskalla	s.
13759	pisiy	adj.
13760	pisiy	s.
13761	pisiy	v.cop.
13762	pisiy	v.intr.
13763	pisiy	v.tr.
13764	pisiya	s.
13765	pisiyachiy	s.
13766	pisiyachiy	v.tr.
13767	pisiyachiy	v.tr.
13768	pisiyaq p'aki yupay	s.
13769	pisiyasqa	s.
13770	pisiyay	v.intr.
13771	pisiyay	v.intr.
13772	pisiykachachiy	v.tr.
13773	pisiy-pisiy!	interj.
13774	pisiy-pisiy	s.
13775	piskay	v.tr.
13776	pisk-pisk ñiy	v.dic.
13777	pisk'ay	s.
13778	pispita	adj.
13779	pispitu	adj.
13780	pispitu	adj.
13781	pispiy	v.intr.
13782	pispuy	v.intr.
13783	pisqiyay	v.tr.
13784	pisqu	s.
13785	pisqu	s.
13786	pisqu	s.
13787	pisqu hap'iq	s.a.
13788	pisqu islampu	s.
13789	pisqukamaq	s.a.
13790	pisqukunata hap'iq puriy	v.tr.
13791	pisqu manchachi	s.
13792	pisqusapa	adj.
13793	pista	s.
13794	pisunay	s.
13795	pisyu	s.
13796	pishakuq	s.
13797	pishay	v.tr.
13798	Pishtaq	s.
13799	pishtaq	s.a.
13800	pishtay	v.tr.
13801	pita?	pron.int.
13802	pita	s.
13803	pitachiy	v.tr.
13804	pitahaya	s.
13805	pitaka	s.
13806	pitakuy	v.tr.
13807	pitamuy	v.tr.
13808	pitapis imatapis tapuy	expr.
13809	pitapis iñiy	expr.
13810	pitaq?	pron.int.
13811	pitasqa	p.p.p.
13812	pitataq?	pron.int.
13813	pitay	s.
13814	pitay	v.tr.
13815	pitaya	s.
13816	pitila	s.
13817	pitiqyaq	adj.
13818	pitiy	v.intr.
13819	pitku	adj.
13820	pitkuy	v.tr.
13821	pitu	s.
13822	pitu	s.
13823	pituchakuy	v.intr.
13824	pitu chaniyuq	adj.
13825	pituchasqa	s.
13826	pituchay	v.tr.
13827	pitu kundisyunal	s.
13828	pitumpa	s.
13829	pitun	s.
13830	pituy	v.intr.
13831	pituy	v.tr.
13832	pituy	v.tr.
13833	pitwiy	v.tr.
13834	piwan?; piwantaq?	pron.int.
13835	piwichu	s.
13836	piwya	s.
13837	piyasa	s.
13838	piyata	s.
13839	piyñu	s.
13840	piyun	s.
13841	piyur	adj.
13842	piyurchay	v.tr.
13843	planchay	v.tr.
13844	plantay	s.
13845	plasa	s.
13846	platanu	s.
13847	platu	s.
13848	plitu	s.
13849	plituy	v.tr.
13850	primu	s.
13851	primu irmanu	s.
13852	priparay	v.tr.
13853	prisku	adj.
13854	pristakuy	v.tr.
13855	pristay	v.tr.
13856	prisu	s.
13857	prisurayay	v.intr.
13858	priyukupay	v.tr.
13859	prufisur	s.
13860	prufita	s.
13861	prufitisay	v.tr.
13862	prumitiy	v.tr.
13863	prupina	s.
13864	pubri	adj.
13865	pubriyay	v.intr.
13866	puchichika	s.
13867	puchiq	s.
13868	puchka	s.
13869	puchka	s.
13870	puchkahunta	adj.
13871	puchkakuy	v.tr.
13872	puchkana	s.
13873	puchkana siqsi	s.
13874	puchkap phirurun	s.
13875	puchkap tullun	s.
13876	puchkaq	s.a.
13877	puchkasqa	p.p.p.
13878	puchkatillu	s.
13879	puchkay	s.
13880	puchkay	v.tr.
13881	puchqay	v.tr.
13882	puchqu	s.
13883	puchu	s.
13884	puchu	s.
13885	puchuchiy	v.tr.
13886	puchukakuy	v.intr.
13887	puchukaq	adj.
13888	puchukaqta	adv.m.
13889	puchukay	s.
13890	puchukay	v.intr.
13891	puchukay	v.tr.
13892	puchukaynin	s.pr.
13893	puchukayninnaq	adj.
13894	puchukaypi	adv.m.
13895	puchukuy	v.intr.
13896	puchumpa	s.
13897	puchun	s.pr.
13898	puchunraq	s.
13899	puchuq	adj.
13900	puchuq	s.
13901	puchuqlu	s.
13902	puchusqa	p.p.p.
13903	puchuy	v.intr.
13904	puchuynin	s.pr.
13905	puchya	adj.
13906	puchyalla	adv.
13907	puchyayay	v.intr.
13908	pudir	s.
13909	puhuyu	s.
13910	puka	adj.
13911	puka allpa	s.
13912	puka allpa	s.
13913	puka aqcha	s.
13914	puka chari	s.
13915	pukachiy	v.tr.
13916	puka chhaka	s.
13917	puka ch'api	s.
13918	puka itana	s.
13919	puka kampi	s.
13920	puka kunka	s.
13921	pukakuqrusqa	p.p.p.
13922	puka lalu	s.
13923	puka lupuna	s.
13924	puka luwichu	s.
13925	pukalla	adj.
13926	Pukallpa	s.
13927	pukamakashka	s.
13928	puka malagri p'anqa	s.
13929	puka manti	s.
13930	puka mullu	s.
13931	pukanchu	adj.
13932	pukapanti	adj.
13933	puka pikanti	s.
13934	puka piraña	s.
13935	Puka Pukara	s.
13936	puka puma	s.
13937	puka puma	s.
13938	pukapuni	adj.
13939	puka qiru	s.
13940	pukara	s.
13941	Pukara	s.
13942	pukara	s.
13943	pukara kamayuq	s.
13944	pukaray	v.tr.
13945	pukarayay	v.tr.
13946	pukas	adj.
13947	puka sara	s.
13948	puka umiña	s.
13949	puka wakamayu	s.
13950	puka wapu	s.
13951	pukawiksa	s.
13952	puka wirp'a	s.
13953	pukayachiy	v.tr.
13954	pukayakuy	v.intr.
13955	puka yana	adj.
13956	pukayaqrusqa	p.p.p.
13957	pukayasqa	p.p.p.
13958	pukayay	v.intr.
13959	pukcha	s.
13960	pukchiy	v.intr.
13961	Pukina	s.
13962	Pukina Qucha	s.
13963	puklla	s.
13964	pukllachasqa	adj.
13965	pukllachiy	v.tr.
13966	pukllachiy turuta	s.tr.
13967	pukllakuq wamra	s.
13968	pukllakuq warmi wamra	s.
13969	pukllakuy	v.intr.
13970	pukllamuy	v.tr.
13971	pukllana	s.
13972	pukllana pampa	s.
13973	pukllanayay	s.
13974	pukllapacha	adj.
13975	pukllapay	v.tr.
13976	pukllapayay	v.tr.
13977	pukllaq	s.a.
13978	pukllaqkunap unquynin	s.
13979	pukllay	s.
13980	pukllay	s.
13981	pukllay	v.tr.
13982	pukllay akllay kamachiq	s.
13983	pukllay kancha	s.
13984	pukllaysapa	adj.
13985	Pukllay waraq	s.
13986	pukpuka	s.
13987	pukuchu	s.
13988	pukuchu	s.
13989	pukuna wapa	s.
13990	puku-puku	s.
13991	pukutaraq	adj.
13992	pukutarayay	v.impers.
13993	pukutay	s.
13994	pukutay	v.intr.
13995	pukutayay	v.impers.
13996	pukyu	s.
13997	pukyu	s.
13998	pukyuy	v.intr.
13999	pula	s.
14000	pulisiya	s.
14001	pulitika	s.
14002	pulitika wakichiy	s.
14003	pulitiku	s.
14004	pulitiku rimay	s.
14005	pulmun	s.
14006	pulqay	v.tr.
14007	Pultumarka	s.
14008	pultutuy	v.intr.
14009	pulu	s.
14010	puluku	s.
14011	pulwillu	s.
14012	pulla	adv.m.
14013	pulla-	adj.pron.
14014	pullan	postpos.
14015	pullan paqas	s.
14016	pulla-pulla	s.
14017	pullaqcha	s.
14018	pullaw	s.
14019	pullira	s.
14020	pullki	s.
14021	pullpullyay	v.dic.
14022	pullqanqa	s.
14023	pullqanqakuna	s.
14024	pullqu	adj.
14025	Pullu	s.
14026	pullul	s.
14027	pullullay	v.intr.
14028	pullullu	s.
14029	pullulluy	v.intr.
14030	pullupuntu	s.
14031	pullurki	s.
14032	pullurki	s.
14033	puma	s.
14034	puma	s.
14035	pumachu	s.
14036	pumachuku	s.
14037	puma ipanlu	s.
14038	puma maki	s.
14039	Pumapampa	s.
14040	pumap rurun	s.
14041	Pumarawka	s.
14042	puma raya	s.
14043	puma rinri	s.
14044	puma sach'a	s.
14045	Pumata	s.
14046	puma urpi	s.
14047	pumay	v.tr.
14048	pumpa	s.
14049	pumpaqrusqa	p.p.p.
14050	pumpay	v.intr.
14051	pum-pum anka	s.
14052	pumpun	s.
14053	Pumpuri	s.
14054	pun	s.
14055	pun	s.
14056	puna	s.
14057	Puna	s.
14058	Puna Ayllu	s.
14059	puna ichhu	s.
14060	puna runa	adj.
14061	punasuyu	s.
14062	punchinkuy	s.
14063	punchu	s.
14064	punchuchiy	v.tr.
14065	punchukuy	v.intr.
14066	punki	adj.
14067	punki	s.
14068	punki api	s.
14069	punkichiy	v.tr.
14070	punkillikuy	s.
14071	punkimanay	v.intr.
14072	punki p'anqa	s.
14073	punkiray	v.intr.
14074	punkisqa	adj.
14075	punkita anchuchiy	v.tr.
14076	punkiti	adj.
14077	punkiy	s.
14078	punkiy	v.intr.
14079	punkiykachay	v.tr.
14080	punku	s.
14081	punku	s.
14082	punku chaka	s.
14083	punku chakakuq	s.
14084	punkukamaq	s.a.
14085	punku kamayuq	s.
14086	punkukirma	s.
14087	punku kiru	s.
14088	punkullu	s.
14089	punkuta	s.
14090	punkuta wichq'ay	expr.
14091	punlla	adv.t.
14092	punllana	s.
14093	punqu	s.
14094	punqu	s.
14095	punquy	v.intr.
14096	punquy	v.tr.
14097	punsana	s.
14098	punsuchichiku	s.
14099	punta	adj.
14100	punta	adv.t.
14101	punta	s.
14102	punta kaq	num.o.
14103	puntallan	s.pr.
14104	puntapi	postpos.
14105	punta qallari willay	s.
14106	punta runapaq chaskina	s.
14107	puntay	v.intr.
14108	Punu	s.
14109	punuysaq	s.a.
14110	punwa	s.
14111	punyay	v.intr.
14112	puñay	v.tr.
14113	puñu	adj.
14114	puñuchiq	s.a.
14115	puñuchiq hampi	s.
14116	puñuchiy	v.tr.
14117	puñukapuy	v.intr.
14118	puñukuy	v.intr.
14119	puñulu	adj.
14120	puñumuy	v.intr.
14121	puñuna	s.
14122	puñuna	s.
14123	puñunaq	s.a.
14124	puñuna ukhu	s.
14125	puñuna wasi	s.
14126	puñuna wasiman haykuy	expr.
14127	puñunayay	s.
14128	puñunayay	v.intr.
14129	puñupakuy	v.intr.
14130	puñupayay	v.tr.
14131	puñuq hina ruray	v.intr.
14132	puñuqllaraq	s.
14133	puñuqrusqa	p.p.p.
14134	puñuray	v.intr.
14135	puñurayay	v.intr.
14136	puñurisqa	p.p.p.
14137	puñuriy	v.intr.
14138	puñurquy	s.
14139	puñusay	v.intr.
14140	puñusiki	adj.
14141	puñu siki	s.
14142	puñuskiri	adj.
14143	puñusqa puriq	s.a.
14144	puñuy	s.
14145	puñuy	v.intr.
14146	puñuy atiwan	expr.
14147	puñuy atiy	v.pron.
14148	puñuy aysay	v.tr.
14149	puñuy ch'utu	s.
14150	puñuy illaq	s.
14151	puñuykuy	v.intr.
14152	puñuysapa	adj.
14153	puñuysiki	adj.
14154	puñuy siki p'asña	adj.
14155	puñuyta atiy	v.pron.
14156	puñuyta ch'utuy	v.pron.
14157	puñuywan atichikuy	v.intr.
14158	pupa	s.
14159	pupu	s.
14160	pupu anku	s.
14161	pupu chunulli	s.
14162	pupulu	adj.
14163	pupuna	s.
14164	puputi	s.
14165	pupu waska	s.
14166	puqa	s.
14167	puqapayay	v.impers.
14168	puqchay	s.
14169	puqchay	v.tr.
14170	puqchiku	s.
14171	puqchiy	v.tr.
14172	puqchu	s.
14173	puqipay	v.tr.
14174	puqri	s.
14175	puqriy	v.intr.
14176	puqru	s.
14177	puqtu	s.
14178	puqtuy	s.
14179	puqu	adj.
14180	puqu	s.
14181	puquchiy	s.
14182	puquchiy	v.tr.
14183	puquchiy	v.tr.
14184	puquna	adj.
14185	Puquna	s.
14186	puqunaqi yura	s.
14187	puquq	s.
14188	puquq	s.a.
14189	puquqrusqa	p.p.p.
14190	puqusqa	p.p.p.
14191	puqusqa	s.
14192	puqusqa	s.
14193	puqutu	s.
14194	puquy	s.
14195	puquy	s.
14196	puquy	v.intr.
14197	puquyay	s.
14198	puquy killa	s.
14199	puquy mit'a	s.
14200	puquynin	s.pr.
14201	puquy pacha	s.
14202	puquy-puquy	adj.
14203	puquy raymi killa	s.
14204	puquy uku	s.
14205	puqyala	adj.
14206	pura	adj.
14207	pura	adj.
14208	pura	s.
14209	pura	s.
14210	purakana	s.
14211	pura killa	s.
14212	puran	adj.pron.
14213	puranchakuy	s.
14214	purapura	s.
14215	purapura	s.
14216	puraq	adj.
14217	puraq huchha	s.
14218	puraqka	adj.
14219	puraqmanta	adv.m.
14220	puraqta kay	s.
14221	puraq uya	adj.
14222	puray	s.
14223	purayay	v.intr.
14224	purchuchukyay	v.intr.
14225	purichi hallmay	s.
14226	purichiy	v.tr.
14227	purichkaspa	p.pr.act.
14228	purikachay	v.mov.
14229	purikuq	s.a.
14230	purikuy	v.mov.
14231	purina	s.
14232	purina manya	s.
14233	purinapaq rantiqa	expr.
14234	purina unanchaq	s.
14235	purinkichu	s.
14236	purinsiyay	v.tr.
14237	puriq	adj.
14238	puriq	s.a.
14239	puriq chaki	adj.
14240	puriqlla	s.
14241	puriq uma	s.
14242	puriq unquy	s.
14243	puririchiy	v.tr.
14244	puririy	s.
14245	puririy	v.mov.
14246	puririynin	s.pr.
