wiki_id,lila_id
L258097,lemma/89283
L258112,lemma/89291
L258128,lemma/19419
L258139,lemma/30753
L258176,lemma/89338
L258179,lemma/89233
L258203,lemma/89360
L258204,lemma/89363
L258214,lemma/89373
L258216,lemma/90143
L258221,lemma/89385
L258249,lemma/89417
L258256,lemma/30924
L258257,lemma/89426
L258272,lemma/89445
L258275,lemma/89452
L258276,lemma/89455
L258283,lemma/89464
L258285,lemma/89465
L258295,hypolemma/2757
L258316,lemma/89500
L258364,lemma/89551
L272614,lemma/100615
L272616,lemma/100618
L272626,lemma/100619
L272641,lemma/102595
L272670,lemma/100704
L272690,lemma/100728
L272695,lemma/102603
L272711,hypolemma/111492
L272739,lemma/100812
L272753,lemma/100840
L272762,lemma/100863
L272766,lemma/102693
L272767,lemma/100864
L272770,lemma/100870
L272779,lemma/100479
L272780,lemma/100892
L272787,lemma/100910
L272797,lemma/100944
L272807,lemma/100966
L272827,lemma/100991
L272828,lemma/100992
L272829,lemma/100996
L272836,lemma/101004
L272882,lemma/101090
L272886,lemma/101107
L272888,lemma/101111
L272893,lemma/102617
L272918,lemma/101151
L272924,lemma/101169
L272989,lemma/101291
L272992,lemma/101293
L273030,lemma/101356
L273048,lemma/101393
L273053,lemma/101411
L273072,lemma/101466
L273081,lemma/101479
L273088,lemma/101379
L273100,lemma/100757
L273104,lemma/101531
L273134,lemma/101548
L273141,lemma/102559
L273146,lemma/101560
L273156,lemma/101621
L273157,lemma/101621
L273163,lemma/101649
L273168,lemma/6684
L273177,lemma/101701
L273194,lemma/101580
L273197,lemma/101582
L273207,lemma/101604
L273238,lemma/101671
L273250,lemma/101729
L273255,lemma/101735
L273261,lemma/101756
L273264,hypolemma/14872
L273268,lemma/101778
L273291,lemma/101819
L273306,lemma/102698
L273328,lemma/102280
L273333,lemma/101878
L273335,lemma/101882
L273340,lemma/101885
L273348,lemma/101905
L273352,lemma/101915
L273353,lemma/101920
L273356,lemma/101930
L273366,lemma/101948
L273373,lemma/102290
L273375,lemma/102293
L273386,lemma/101972
L273405,lemma/101981
L273419,lemma/102007
L273423,lemma/141624
L273426,lemma/102019
L273432,lemma/102029
L273434,lemma/102034
L273441,lemma/102039
L273444,lemma/102319
L273452,lemma/102049
L273461,lemma/102055
L273485,lemma/102099
L273498,lemma/102117
L273526,lemma/102163
L266029,lemma/95566
L266045,lemma/95569
L266059,lemma/95579
L266069,lemma/95586
L266074,lemma/43269
L266077,lemma/95590
L266085,lemma/95597
L266088,lemma/95600
L266105,lemma/95612
L266107,lemma/95611
L266120,lemma/95624
L266125,lemma/95625
L266150,lemma/43310
L266160,lemma/95660
L266161,lemma/95661
L266174,hypolemma/85410
L266199,hypolemma/8472
L266201,lemma/95688
L266202,lemma/95687
L266221,lemma/95638
L266227,lemma/95705
L266228,lemma/95699
L266239,lemma/97727
L266251,lemma/95719
L266280,lemma/95759
L266283,lemma/95739
L266292,lemma/95747
L266297,lemma/95749
L266304,lemma/95755
L266321,hypolemma/8574
L266323,lemma/95765
L266338,lemma/138927
L266346,lemma/95785
L266350,lemma/95788
L266353,hypolemma/8602
L266358,lemma/95793
L266364,lemma/95797
L266389,lemma/95818
L266412,lemma/43479
L266429,lemma/95845
L266441,lemma/95855
L266446,lemma/95857
L266458,lemma/95866
L266461,lemma/95870
L266471,lemma/95877
L266479,lemma/95883
L266484,lemma/95887
L266486,lemma/95889
L266488,lemma/95891
L266499,lemma/95899
L266511,lemma/97734
L266514,hypolemma/8786
L266531,lemma/141729
L266548,lemma/95925
L266551,lemma/95907
L266554,hypolemma/8802
L266571,lemma/95944
L266572,hypolemma/112907
L266581,lemma/97737
L266587,hypolemma/8840
L266589,lemma/95952
L266590,lemma/94786
L266603,lemma/94797
L266606,lemma/97000
L266612,lemma/43571
L266614,lemma/94809
L266621,lemma/94814
L266637,lemma/97778
L266639,lemma/97779
L266671,lemma/94862
L266688,lemma/94878
L266689,lemma/94879
L266699,lemma/94893
L266715,lemma/95093
