eusterm,wikidata
Q1057,Q42848
Q1059,Q25047676
Q1064,Q1045785
Q1068,Q515701
Q1071,Q4182287
Q1099,Q18395344
Q1102,Q830115
Q1104,Q33003557
Q1105,Q7449091
Q1107,Q112841639
Q1110,Q1167863
Q1697,Q7112601
Q1705,Q7099402
Q1714,Q44342
Q1715,Q36192
Q1715,Q36192
Q1720,Q182659
Q1731,Q2999042
Q1744,Q758422
Q1748,Q1550355
Q1784,Q27801
Q1902,Q57050725
Q1950,Q6398233
Q1951,Q3152898
Q1959,Q8033605
Q1975,Q1444
Q1978,Q11712894
Q1980,Q40125
Q1995,Q3891158
Q1996,Q1165766
Q2000,Q98183018
Q2029,Q42896320
Q2038,Q98329515
Q2062,Q128309
Q2075,Q2446216
Q2075,Q2446216
Q2085,Q12338050
Q2085,Q12338050
Q2100,Q2035256
Q2100,Q2035256
Q2102,Q212989
Q2102,Q212989
Q2103,Q28823
Q2103,Q28823
Q2104,Q752296
Q2104,Q752296
Q2105,Q477849
Q2105,Q477849
Q2106,Q798886
Q2106,Q798886
Q2130,Q381165
Q2130,Q381165
Q2149,Q12052936
Q2149,Q12052936
Q2150,Q193150
Q279,Q6388
Q283,Q2485448
Q290,Q200023
Q329,Q2393575
Q336,Q4008851
Q347,Q5156360
Q359,Q72797
Q370,Q2471422
Q385,Q6582103
Q389,Q2736850
Q392,Q14090
Q393,Q7191750
Q395,Q219067
Q396,Q1216236
Q401,Q206621
Q402,Q4013880
Q405,Q25044258
Q409,Q1991481
Q420,Q494406
Q430,Q978
Q432,Q863247
Q433,Q7102834
Q437,Q49848
Q440,Q263864
Q444,Q7702845
Q446,Q2748079
Q463,Q1641112
Q465,Q11409498
Q479,Q10923090
Q491,Q2549288
Q499,Q1485500
Q502,Q1935127
Q504,Q1497178
Q507,Q484830
Q520,Q1323540
Q521,Q1329506
Q522,Q1759266
Q525,Q380342
Q527,Q832045
Q534,Q4290
Q535,Q1728582
Q536,Q1113011
Q537,Q205884
Q539,Q1068683
Q542,Q474182
Q543,Q1271896
Q544,Q230683
Q545,Q333322
Q549,Q132076
Q555,Q1417820
Q557,Q15853126
Q562,Q2002624
Q563,Q941050
Q564,Q2112141
Q565,Q1917602
Q566,Q1497716
Q567,Q60981980
Q569,Q43229
Q576,Q730038
Q583,Q43637
Q585,Q179216
Q586,Q1656701
Q594,Q2604680
Q595,Q4530436
Q598,Q23002002
Q604,Q762702
Q609,Q190632
Q620,Q60769407
Q628,Q2383321
Q633,Q15824302
Q638,Q253623
Q643,Q1780190
Q649,Q15854861
Q676,Q1395509
Q687,Q63247926
Q690,Q1377570
Q694,Q167130
Q696,Q161798
Q701,Q1076532
Q703,Q1148375
Q704,Q2360778
Q706,Q3480295
Q707,Q948482
Q708,Q1928434
Q709,Q350793
Q711,Q1141961
Q712,Q2593959
Q713,Q948851
Q714,Q2078372
Q715,Q3514538
Q716,Q873776
Q717,Q1137570
Q719,Q15113997
Q721,Q573863
Q722,Q750483
Q726,Q857558
Q727,Q305026
Q729,Q11723891
Q731,Q184872
Q735,Q309252
Q2544,Q388755
Q2545,Q337554
Q2547,Q470747
Q2548,Q857667
Q2549,Q194290
Q2550,Q1036696
Q2551,Q649717
Q2552,Q2634782
Q2553,Q186889
Q2554,Q68833
Q2557,Q1135221
Q2559,Q11602751
Q2561,Q180007
Q2562,Q18054140
Q2563,Q574360
Q2565,Q1567709
Q2566,Q576145
Q2567,Q10916362
Q2568,Q576145
Q2570,Q205418
Q2571,Q2144546
Q2572,Q7561
Q2573,Q2585006
Q2574,Q852799
Q2576,Q3417299
Q2577,Q37602
Q2578,Q37477
Q2579,Q48782767
Q2581,Q2857578
Q2582,Q1368357
Q2583,Q1292121
Q2584,Q182868
Q2603,Q133182
Q2605,Q483677
Q2613,Q1460138
Q2615,Q1135397
Q2617,Q2068914
Q2618,Q2476465
Q2619,Q2266871
Q2622,Q724950
Q2623,Q1994733
Q2625,Q2022515
Q2626,Q2577364
Q2628,Q6806473
Q2629,Q5449691
Q2630,Q6664828
Q2631,Q2747160
Q2640,Q1795024
Q2654,Q3174349
Q2656,Q28043612
Q2719,Q15354235
Q2732,Q2643488
Q2746,Q9089
Q2749,Q255849
Q2757,Q120200
Q2761,Q46857
Q2764,Q1076131
Q2766,Q45996
Q2804,Q419763
Q2806,Q332231
Q2810,Q1191065
Q2811,Q624497
Q2812,Q270421
Q2822,Q2095
Q2825,Q7239
Q2827,Q196538
Q2836,Q531507
Q2837,Q181394
Q2843,Q11364
Q2866,Q7946
Q2867,Q215210
Q2874,Q44595
Q2892,Q5090
Q2896,Q7802
Q2902,Q8495
Q2923,Q780
Q2964,Q740
Q2967,Q9026596
Q2976,Q7187
Q2978,Q104053
Q3001,Q746426
Q3012,Q181138
Q3017,Q4287
Q3019,Q5141254
Q3023,Q13317
Q3025,Q1367706
Q1111,Q17152639
Q1120,Q187931
Q1121,Q180160
Q1123,Q658349
Q1127,Q180907
Q1130,Q609507
Q1131,Q680042
Q1148,Q1193158
Q1160,Q36524
Q1162,Q1575129
Q1164,Q15192747
Q1166,Q403574
Q1171,Q6537700
Q1173,Q1327461
Q1177,Q632346
Q1178,Q25305479
Q1179,Q25052115
Q1180,Q1271424
Q1181,Q194152
Q1182,Q55632839
Q1198,Q24589734
Q1206,Q51393
Q1216,Q7242811
Q1223,Q12905217
Q1224,Q2916372
Q1230,Q48264
Q1234,Q9332
Q1238,Q208099
Q1240,Q1141983
Q1241,Q60755604
Q1248,Q28134442
Q1257,Q3310282
Q1258,Q11076311
Q1261,Q105074283
Q1264,Q2672163
Q1271,Q4135211
Q1276,Q49809
Q1288,Q110271724
Q1289,Q65049330
Q1292,Q18299
Q1296,Q6457825
Q1297,Q56282687
Q1300,Q3854862
Q1302,Q17010007
Q1311,Q2537421
Q1315,Q1940866
Q1322,Q1054678
Q1326,Q2742173
Q1333,Q1165905
Q1347,Q55104469
Q1351,Q7676378
Q1352,Q3242821
Q1357,Q5110203
Q1359,Q13416790
Q1360,Q56064174
Q1361,Q189125
Q1366,Q3308597
Q1377,Q583261
Q1387,Q12147
Q1389,Q1981388
Q1393,Q2725393
Q1396,Q4880695
Q1405,Q123414
Q1410,Q9418
Q1420,Q12140
Q1429,Q1774898
Q1430,Q3326551
Q1437,Q12136
Q1447,Q10981881
Q1448,Q1137326
Q1451,Q5373802
Q1456,Q113212938
Q1466,Q6028883
Q1475,Q185698
Q1479,Q10567262
Q1481,Q3984210
Q1497,Q30109942
Q1503,Q13100823
Q1511,Q48998239
Q1524,Q3269441
Q1528,Q701216
Q1542,Q838202
Q1546,Q2527498
Q1548,Q1326190
Q1550,Q828879
Q1554,Q1760918
Q1560,Q7448033
