lexeme,lila
L273356,lemma/101930
L273366,lemma/101948
L273373,lemma/102290
L273375,lemma/102293
L273386,lemma/101972
L273405,lemma/101981
L273419,lemma/102007
L273423,lemma/141624
L273426,lemma/102019
L273432,lemma/102029
L273434,lemma/102034
L273441,lemma/102039
L273444,lemma/102319
L273452,lemma/102049
L272737,lemma/100812
L273607,lemma/102290
L273609,lemma/102293
L273135,lemma/101548
L273372,lemma/102290
L273387,lemma/101972
L273627,lemma/102290
L275204,lemma/101379
L273101,lemma/100757
L258293,hypolemma/2757
L273437,lemma/102290
L273604,lemma/102280
L275309,lemma/105624
L275144,lemma/105270
L275149,lemma/8925
L275158,lemma/105296
L275166,lemma/101378
L275173,lemma/105364
L275175,lemma/105368
L275200,lemma/105397
L275213,lemma/105417
L275214,lemma/105418
L275218,lemma/105427
L275233,hypolemma/18681
L275242,lemma/9296
L275267,lemma/105530
L275269,lemma/105385
L275277,lemma/105552
L275290,lemma/105566
L275295,lemma/105582
L275330,lemma/105647
L275337,lemma/105667
L275339,lemma/105668
L275360,lemma/105719
L275363,lemma/105724
L275366,lemma/105320
L275368,lemma/105319
L275383,lemma/105742
L275387,lemma/105745
L275388,lemma/105749
L275396,lemma/105454
L275412,lemma/130562
L275416,lemma/105771
L275428,lemma/9605
L275429,lemma/105790
L275434,lemma/105828
L275437,lemma/105836
L275448,hypolemma/19056
L275452,lemma/105905
L275468,lemma/105947
L275483,lemma/106052
L275485,lemma/106062
L275507,lemma/106096
L275515,hypolemma/19210
L275516,lemma/106101
L275535,hypolemma/19314
L275548,lemma/10055
L275550,lemma/106191
L275554,lemma/106196
L275560,lemma/106223
L275562,lemma/106233
L275564,lemma/106236
L275565,lemma/106235
L275569,hypolemma/19428
L275576,lemma/106220
L275579,lemma/106262
L275631,hypolemma/112824
L275635,lemma/106401
