wd_item,wd_itemLabel,wn31
Q49148,Martha's Vineyard,09121080-n
Q49149,Nantucket,09121184-n
Q326295,Plymouth,09121313-n
Q126195,Plymouth Colony,09121477-n
Q1072391,Plymouth Rock,09121690-n
Q54140,Salem,09121856-n
Q983837,Williamstown,09122003-n
Q1166,Michigan,09122118-n
Q1012455,Alpena,09122680-n
Q485172,Ann Arbor,09122823-n
Q12439,Detroit,09122994-n
Q490584,Flint,09123290-n
Q184587,Grand Rapids,09123437-n
Q12429,Houghton,09123582-n
Q984374,Jackson,09123727-n
Q167155,Kalamazoo,09123833-n
Q28237,Lansing,09123918-n
Q12443,Marquette,09124095-n
Q995533,Monroe,09124239-n
Q719,Saginaw,09124353-n
Q984544,Traverse City,09124482-n
Q1527,Minnesota,09124616-n
Q730430,Bemidji,09125023-n
Q485708,Duluth,09125125-n
Q828736,Hibbing,09125263-n
Q913243,Mankato,09125389-n
Q36091,Minneapolis,09125491-n
Q486479,Rochester,09125720-n
Q736834,St. Cloud,09125825-n
Q28848,Saint Paul,09125985-n
Q986681,Virginia,09126411-n
Q1494,Mississippi,09126551-n
Q490720,Biloxi,09127090-n
Q985648,Columbus,09127220-n
Q988112,Greenville,09127353-n
Q384464,Hattiesburg,09127510-n
Q28198,Jackson,09127619-n
Q118152,Meridian,09127772-n
Q944044,Natchez,09127876-n
Q667727,Tupelo,09128006-n
Q493787,Vicksburg,09128110-n
Q1581,Missouri,09128437-n
Q866294,Cape Girardeau,09129015-n
Q59670,Columbia,09129124-n
Q961975,Hannibal,09129236-n
Q24603,Independence,09129392-n
Q28180,Jefferson City,09129534-n
Q41819,Kansas City,09129720-n
Q955462,Poplar Bluff,09129927-n
Q38022,St. Louis,09130248-n
Q966486,Sedalia,09130572-n
Q135615,Springfield,09130677-n
Q1212,Montana,09130786-n
Q569678,Bozeman,09131216-n
Q166304,Billings,09131358-n
Q467664,Butte,09131514-n
Q466190,Great Falls,09131642-n
Q38733,Helena,09131810-n
Q189602,Missoula,09131963-n
Q1553,Nebraska,09132074-n
Q461826,Grand Island,09132408-n
Q28260,Lincoln,09132519-n
Q989960,North Platte,09132736-n
Q43199,Omaha,09132866-n
Q1227,Nevada,09133059-n
Q40881,Carson City,09133423-n
Q23768,Las Vegas,09133578-n
Q49225,Reno,09133807-n
Q759,New Hampshire,09134005-n
Q28249,Concord,09134400-n
Q48370,Manchester,09134601-n
Q49191,Portsmouth,09134769-n
Q1408,New Jersey,09134928-n
Q1408,New Jersey,09135395-n
Q139564,Atlantic City,09135510-n
Q25330,Trenton,09135675-n
Q812589,Bayonne,09135860-n
Q138367,Camden,09135986-n
Q26339,Jersey City,09136132-n
Q962499,Morristown,09136264-n
Q25395,Newark,09136415-n
Q138338,New Brunswick,09136554-n
Q138391,Paterson,09136673-n
Q138518,Princeton,09136781-n
Q138548,Cape May,09136915-n
Q319821,Liberty Island,09137054-n
Q1522,New Mexico,09137349-n
Q34804,Albuquerque,09137975-n
Q852577,Carlsbad,09138138-n
Q1012695,Farmington,09138306-n
Q577981,Gallup,09138416-n
Q33264,Las Cruces,09138546-n
Q318637,Los Alamos,09138670-n
Q33561,Roswell,09138874-n
Q38555,Santa Fe,09138978-n
Q985526,Silver City,09139148-n
Q223308,New Amsterdam,09139536-n
Q382593,New Netherland,09139778-n
Q1384,New York,09140011-n
Q24861,Albany,09140980-n
Q40435,Buffalo,09141172-n
Q1025016,Cooperstown,09141306-n
Q459578,Erie Canal,09141484-n
Q60,New York City,09141944-n
Q18419,Brooklyn,09142754-n
Q628201,Coney Island,09142874-n
Q202175,Ellis Island,09143020-n
Q11299,Manhattan,09143261-n
Q109858,Fifth Avenue,09143606-n
Q109926,Seventh Avenue,09143768-n
Q160409,Central Park,09143897-n
Q189074,Harlem,09144001-n
Q840133,Hell's Kitchen,09144125-n
Q461572,SoHo,09144286-n
Q217346,Ithaca,09144481-n
Q785788,Bowery,09144603-n
Q11260,Broadway,09144753-n
Q109711,Park Avenue,09144925-n
Q1058828,Off-Broadway,09145064-n
Q11259,Times Square,09145209-n
Q11690,Wall Street,09145446-n
Q205380,Greenwich Village,09145635-n
Q18424,Queens,09145849-n
Q18432,Staten Island,09145948-n
Q212862,East River,09146054-n
Q597451,Harlem River,09146205-n
Q18438,Long Island,09146706-n
Q3300920,Elmont,09146919-n
Q213814,Binghamton,09147255-n
Q868660,Kingston,09147398-n
Q1044808,Newburgh,09147511-n
Q128133,Niagara Falls,09147682-n
Q49218,Rochester,09147869-n
Q331380,Schenectady,09148020-n
Q128069,Syracuse,09148194-n
Q2495519,Utica,09148295-n
Q1144357,Saratoga Springs,09148393-n
Q1454,North Carolina,09148971-n
Q5034783,Cape Fear,09149687-n
Q1034424,Cape Flattery,09149834-n
Q169141,Cape Froward,09149947-n
Q978032,Cape Hatteras,09150134-n
Q2509872,Hatteras Island,09150374-n
Q41087,Raleigh,09150517-n
Q648501,Asheville,09150713-n
Q671812,Chapel Hill,09150874-n
Q16565,Charlotte,09151045-n
Q49229,Durham,09151209-n
Q331104,Fayetteville,09151364-n
Q367400,Goldsboro,09151481-n
Q49238,Greensboro,09151620-n
Q1989904,Greenville,09151735-n
Q659400,Wilmington,09151860-n
Q49227,Winston-Salem,09151997-n
Q1207,North Dakota,09152115-n
Q37066,Bismarck,09152399-n
Q34109,Fargo,09152606-n
Q1397,Ohio,09152756-n
Q163132,Akron,09153132-n
Q755420,Athens,09153279-n
Q37320,Cleveland,09153394-n
Q43196,Cincinnati,09153563-n
Q16567,Columbus,09153681-n
Q34739,Dayton,09153885-n
Q983698,Mansfield,09154004-n
Q49239,Toledo,09154108-n
Q216820,Youngstown,09154233-n
Q1649,Oklahoma,09154334-n
Q809450,Bartlesville,09154741-n
Q984361,Enid,09154851-n
Q503336,Lawton,09154954-n
Q1994656,McAlester,09155055-n
Q524233,Muskogee,09155162-n
Q34863,Oklahoma City,09155285-n
Q44989,Tulsa,09155466-n
Q824,Oregon,09155698-n
Q671288,Bend,09156059-n
Q171224,Eugene,09156195-n
Q846146,Klamath Falls,09156338-n
Q836663,Medford,09156470-n
Q6106,Portland,09156590-n
Q43919,Salem,09156897-n
Q1400,Pennsylvania,09157583-n
Q142811,Allentown,09157700-n
Q444210,Altoona,09157843-n
Q164380,Bethlehem,09157947-n
Q234061,Erie,09158148-n
Q694550,Gettysburg,09158291-n
Q25280,Harrisburg,09158434-n
Q868666,Hershey,09158595-n
Q368045,Chester,09158694-n
Q1345,Philadelphia,09158883-n
Q1342,Pittsburgh,09159283-n
Q271395,Scranton,09159630-n
Q1387,Rhode Island,09160042-n
Q18383,Providence,09160159-n
Q54264,Newport,09160390-n
Q1456,South Carolina,09160954-n
Q38453,Columbia,09161073-n
Q47716,Charleston,09161253-n
Q597842,Florence,09161391-n
Q574192,Greenville,09161523-n
Q1211,South Dakota,09161650-n
Q236713,Aberdeen,09162102-n
Q40747,Pierre,09162230-n
Q213325,Rapid City,09162420-n
Q131335,Sioux Falls,09162571-n
Q250937,Black Hills,09162715-n
Q1509,Tennessee,09162870-n
Q186702,Chattanooga,09163299-n
Q5675279,Columbia,09163404-n
Q985409,Jackson,09163511-n
Q770571,Johnson City,09163612-n
Q185582,Knoxville,09163723-n
Q16563,Memphis,09163849-n
Q23197,Nashville,09164027-n
Q1439,Texas,09164256-n
Q128295,Abilene,09165411-n
Q51691,Amarillo,09165508-n
Q17943,Arlington,09165624-n
Q16559,Austin,09165754-n
Q128282,Beaumont,09165942-n
Q51693,Brownsville,09166058-n
Q695556,Bryan,09166286-n
Q49242,Corpus Christi,09166386-n
Q16557,Dallas,09166523-n
Q970792,Del Rio,09166710-n
Q16562,El Paso,09166854-n
Q16558,Fort Worth,09167060-n
Q135744,Galveston,09167221-n
Q1315101,Galveston Island,09167342-n
Q49274,Garland,09167467-n
Q16555,Houston,09167588-n
Q16868,Laredo,09167820-n
Q49273,Lubbock,09167954-n
Q975590,Lufkin,09168078-n
Q51698,McAllen,09168174-n
Q128321,Midland,09168290-n
Q128361,Odessa,09168392-n
Q830149,Paris,09168488-n
Q51689,Plano,09168588-n
Q925598,San Angelo,09168707-n
Q975,San Antonio,09168848-n
Q982379,Sherman,09169061-n
Q844020,Texarkana,09169188-n
Q499169,Tyler,09169321-n
Q784496,Victoria,09169418-n
Q128244,Waco,09169550-n
Q128349,Wichita Falls,09169649-n
Q829,Utah,09169783-n
Q52471,Ogden,09170247-n
Q23443,Provo,09170361-n
Q23337,Salt Lake City,09170480-n
Q16551,Vermont,09170707-n
Q26426,Montpelier,09171008-n
Q817921,Bennington,09171171-n
Q899813,Brattleboro,09171278-n
Q31058,Burlington,09171411-n
Q25893,Rutland,09171620-n
Q1370,Virginia,09171719-n
Q1370,Virginia,09172689-n
Q43421,Richmond,09172802-n
Q285816,Blacksburg,09173039-n
Q323813,Jamestown,09173203-n
Q335017,Newport News,09173417-n
Q49231,Norfolk,09173618-n
Q844012,Lynchburg,09173869-n
Q342803,Portsmouth,09173971-n
Q501796,Roanoke,09174166-n
Q49259,Virginia Beach,09174271-n
Q179446,Bull Run,09174555-n
Q3477875,Chancellorsville,09174718-n
Q492342,Fredericksburg,09174835-n
Q938699,Yorktown,09175325-n
Q731635,Mount Vernon,09175524-n
Q1223,Washington,09175699-n
Q233808,Aberdeen,09176333-n
Q430267,Bellingham,09176473-n
Q844033,Kennewick,09176636-n
Q42735,Olympia,09176763-n
Q5083,Seattle,09176941-n
Q187805,Spokane,09177371-n
Q199797,Tacoma,09177495-n
Q234053,Vancouver,09177669-n
Q222338,Walla Walla,09177829-n
Q499203,Yakima,09177963-n
Q1371,West Virginia,09178070-n
Q813745,Beckley,09178463-n
Q44564,Charleston,09178569-n
Q1010199,Clarksburg,09178757-n
Q2131289,Fayetteville,09178866-n
Q241808,Huntington,09179012-n
Q985289,Harpers Ferry,09179166-n
Q653636,Morgantown,09179437-n
Q329485,Parkersburg,09179660-n
Q838112,Wheeling,09179792-n
Q1537,Wisconsin,09179934-n
Q94928,Appleton,09180341-n
Q122563,Eau Claire,09180443-n
Q47430,Green Bay,09180552-n
Q936780,La Crosse,09180682-n
Q43788,Madison,09180810-n
Q37836,Milwaukee,09181054-n
Q40340,Racine,09181287-n
Q984577,Superior,09181435-n
Q1207479,Watertown,09181575-n
Q998675,Wausau,09181683-n
Q1214,Wyoming,09181789-n
Q223177,Casper,09182339-n
Q39042,Cheyenne,09182468-n
Q871285,Jackson,09182652-n
Q992094,Lander,09182751-n
Q327515,Laramie,09182849-n
Q378071,Rock Springs,09182961-n
Q77,Uruguay,09183088-n
Q1335,Montevideo,09183364-n
Q686,Vanuatu,09183568-n
Q37806,Port Vila,09183761-n
Q237,Vatican City,09184245-n
Q717,Venezuela,09184596-n
Q1533,Caracas,09185069-n
Q171632,Maracaibo,09185596-n
Q333928,Maracay,09185748-n
Q54880,Valencia,09185870-n
Q881,Vietnam,09185985-n
Q172640,North Vietnam,09186377-n
Q180573,Republic of Vietnam,09186637-n
Q1858,Hanoi,09186888-n
Q1854,Ho Chi Minh City,09187034-n
Q72818,Haiphong,09187210-n
Q805,Yemen,09187354-n
Q131694,Aden,09187696-n
Q270041,Al Hudaydah,09187939-n
Q310772,Mukalla,09188087-n
Q2471,Sanaa,09188257-n
Q953,Zambia,09188406-n
Q3881,Lusaka,09188789-n
Q476033,Low Countries,09188920-n
Q188650,Lusitania,09189097-n
Q81720,Silesia,09189327-n
Q859413,Big Sur,09189549-n
Q163820,Silicon Valley,09189695-n
Q954,Zimbabwe,09189894-n
Q3921,Harare,09190298-n
Q193250,Bulawayo,09190445-n
Q208299,Arabian Desert,09190560-n
Q624170,Eastern Desert,09190813-n
Q47141,Atacama Desert,09190986-n
Q880529,Black Rock Desert,09191489-n
Q855658,Chihuahuan Desert,09191604-n
Q267267,Colorado Desert,09191812-n
Q272514,Dasht-e Kavir,09191935-n
Q767128,Dasht-e Lut,09192085-n
Q118388,Death Valley,09192200-n
Q272577,Gibson Desert,09192454-n
Q42070,Gobi Desert,09192698-n
Q326896,Great Sandy Desert,09192827-n
Q145165,Great Victoria Desert,09193006-n
Q47700,Kalahari Desert,09193191-n
Q184364,Kyzyl Kum,09193530-n
Q181528,Libyan Desert,09193685-n
Q184355,Mojave Desert,09193893-n
Q749205,An Nafud,09194273-n
Q162843,Negev,09194457-n
Q464909,Nubian Desert,09194571-n
Q936252,Painted Desert,09194750-n
Q1061324,Patagonian Desert,09194881-n
Q6583,Sahara,09195180-n
Q132959,Sub-Saharan Africa,09195377-n
Q211839,Simpson Desert,09195531-n
Q189429,Sonoran Desert,09195807-n
Q339162,Syrian Desert,09195920-n
Q172691,Thar Desert,09196314-n
Q945773,Cameroon line,09196520-n
Q238147,Pico de Orizaba,09196674-n
Q181476,Cotopaxi volcano,09197198-n
Q572865,El Misti,09197463-n
Q16990,Mount Etna,09197615-n
Q39231,Mount Fuji,09197913-n
Q235062,Galeras,09198219-n
Q82613,Krakatoa,09198812-n
Q201012,New Siberian Islands,09199056-n
Q48783,Lascar,09199239-n
Q131230,Mauna Kea,09199343-n
Q159762,Mauna Loa,09199505-n
Q695846,Nyamuragira,09199629-n
Q14052,Sangay volcano,09200000-n
Q943045,Tupungatito,09200146-n
Q4675,Mount St. Helens,09200282-n
Q845909,Scythia,09200544-n
Q524,Mount Vesuvius,09200780-n
Q27381,North Africa,09201038-n
Q4412,West Africa,09201207-n
Q223675,meaning of life,09201624-n
Q15326,alcoholism,09204890-n
Q2717096,dipsomania,09204890-n
Q1298422,egomania,09205039-n
Q212021,kleptomania,09205170-n
Q917061,monomania,09205421-n
Q181843,necrophilia,09205547-n
Q608259,trichotillomania,09205928-n
Q2548061,Wanderlust,09206037-n
Q48324,morality,09206590-n
Q193526,conscience,09207033-n
Q16148678,Acathexis,09208762-n
Q1675,Aare,09208961-n
Q191087,Acheron,09209606-n
Q340587,achondrite,09209825-n
Q39739,Aconcagua,09210101-n
Q267646,Mount Adams,09210304-n
Q60789,Adam's Peak,09210491-n
Q13696,Adige,09210640-n
Q357546,Adirondack Mountains,09210820-n
Q13924,Adriatic Sea,09211280-n
Q34575,Aegean Sea,09211506-n
Q15,Africa,09212308-n
Q408636,River Aire,09214585-n
Q558643,Alabama River,09214753-n
Q60064,Alaska Peninsula,09215000-n
Q156684,Alaska Range,09215158-n
Q12170,Aldebaran,09215340-n
Q13080,Algol,09215444-n
Q1141373,Allegheny Mountains,09215586-n
Q686021,Allegheny River,09215851-n
Q1286,Alps,09216583-n
Q12176,Alpha Centauri,09216650-n
Q13102,Acrux,09216811-n
Q1286,Alps,09217235-n
Q5955,Altai Mountains,09217588-n
Q12975,Altair,09217816-n
Q202411,altocumulus,09217976-n
Q202145,altostratus,09218113-n
Q3783,Amazon,09218250-n
Q828,the Americas,09218493-n
Q1320475,American Falls,09218674-n
Q228002,Ammonoidea,09218836-n
Q6862,Amur,09218981-n
Q47632,Andaman Sea,09219332-n
Q5456,Andes,09219489-n
Q9256,Andromeda,09220149-n
Q162737,Angara,09220310-n
Q80299,Angel Falls,09220538-n
Q159621,Annapurna,09220823-n
Q51,Antarctica,09220984-n
Q185605,Antarctic Peninsula,09221633-n
Q12166,Antares,09221875-n
Q965847,termite mound,09221979-n
Q14861565,antibaryon,09222097-n
Q9617716,antilepton,09222219-n
Q1066748,antineutrino,09222606-n
Q156530,antineutron,09222695-n
Q182717,antiparticle,09222782-n
Q107575,antiproton,09223071-n
Q2052084,antiquark,09223195-n
Q10481,Antlia,09223405-n
Q617392,Apalachicola,09223527-n
Q6434802,aperture,09223909-n
Q93332,Appalachian Mountains,09224179-n
Q10506,Apus,09224592-n
Q10576,Aquarius,09224718-n
Q208791,aquifer,09224876-n
Q10586,Aquila,09225020-n
Q9253,Ara,09225163-n
Q58705,Arabian Sea,09225283-n
Q128880,Arafura Sea,09225481-n
Q171847,Araguaia River,09225688-n
Q72303,Mount Agri,09225910-n
Q33837,archipelago,09226715-n
Q788,Arctic Ocean,09227865-n
Q12985,Arcturus,09228222-n
Q1334383,arête,09228397-n
Q26439,Argun River,09228778-n
Q10584,Aries,09229021-n
Q542806,Aristarchus,09229177-n
Q8319,Arkansas River,09229263-n
Q115457,Arno,09229581-n
Q884353,blind shaft,09229873-n
Q48,Asia,09230176-n
Q9262,asterism,09231384-n
Q3863,asteroid,09231590-n
Q166257,asthenosphere,09231932-n
Q97,Atlantic Ocean,09232170-n
Q130135,Atlas Mountains,09233253-n
Q8104,atmosphere,09233511-n
Q42523,atoll,09233769-n
Q10476,Auriga,09233963-n
Q3960,Australian continent,09234173-n
Q390226,Australian Alps,09234642-n
Q19709,River Avon,09234851-n
Q19711,River Avon,09235058-n
Q2385513,stream pool,09235267-n
Q37040,Baffin Bay,09235597-n
Q6383,Lake Balaton,09235842-n
Q170427,Balkan Mountains,09235983-n
Q545,Baltic Sea,09236161-n
Q478251,bar,09236967-n
Q45823,Barents Sea,09237329-n
Q1205140,barrier island,09237667-n
Q159731,baryon,09237930-n
Q813672,basin,09238344-n
Q9258947,fjard,09238571-n
Q38684,Bay of Bengal,09239349-n
Q41573,Bay of Biscay,09239495-n
Q181857,Bay of Fundy,09239688-n
Q812585,bayou,09239993-n
Q40080,beach,09240137-n
Q131274,Beaufort Sea,09240415-n
Q570309,bedrock,09240951-n
Q123339,honeycomb,09241222-n
Q104674,Ben Nevis,09241548-n
Q44725,Bering Sea,09241689-n
Q11769,Bering Strait,09241870-n
Q820961,Berkshires,09241985-n
Q81957,berm,09242140-n
Q13175,Beta Centauri,09242256-n
Q12124,Betelgeuse,09242638-n
Q10460,Big Dipper,09242765-n
Q859686,Bighorn River,09242953-n
Q47530,Bight of Benin,09243341-n
Q859274,Big Sioux River,09243481-n
Q803749,billabong,09243677-n
Q803749,billabong,09243829-n
Q864360,biological hazard,09244331-n
Q954659,Biscayne Bay,09244630-n
Q199436,Bismarck Sea,09244807-n
Q4204,Black Forest,09245649-n
Q166,Black Sea,09246232-n
Q882739,Blue Nile,09247100-n
Q166755,Blue Ridge Mountains,09247232-n
Q107679,cliff,09247632-n
Q1681353,bog,09248850-n
Q43101,boson,09249904-n
Q35958,Bosporus,09250126-n
Q12183361,Upland and lowland,09250335-n
Q859199,Big Rock,09250746-n
Q1010066,Brae,09250962-n
Q45403,Brahmaputra River,09251051-n
Q903306,Brazos River,09251526-n
Q212946,Brenner Pass,09251835-n
Q188203,Bristol Channel,09252156-n
Q27250,tidal creek,09252316-n
Q75794,bubble,09252616-n
Q2392414,tree hollow,09252948-n
Q6554910,butte,09253109-n
Q599732,Buzzards Bay,09253268-n
Q10488,Caelum,09253553-n
Q1093379,concretion,09253675-n
Q159954,caldera,09254024-n
Q3134,Callisto,09254170-n
Q2749928,Caloosahatchee River,09254268-n
Q944772,River Cam,09254494-n
Q1028218,Cambrian Mountains,09254668-n
Q597753,Canadian River,09254797-n
Q1373778,Horseshoe Falls,09255072-n
Q12284,canal,09255224-n
Q1032768,Canandaigua Lake,09255433-n
Q8849,Cancer,09255594-n
Q10538,Canis Major,09255748-n
Q9305,Canis Minor,09255896-n
Q12189,Canopus,09256041-n
Q208076,Cantabrian Mountains,09256191-n
Q150784,canyon,09256353-n
Q185113,cape,09256622-n
Q193401,Cape Canaveral,09257011-n
Q516993,Cape Cod Bay,09257281-n
Q1034421,Cape Fear River,09257398-n
Q12970,Capella,09257561-n
Q2937102,Cape Sable,09257792-n
Q203950,Cape Trafalgar,09257960-n
Q233770,Cape York Peninsula,09258376-n
Q10535,Capricornus,09258620-n
Q1247,Caribbean Sea,09258801-n
Q10470,Carina,09258984-n
Q1288,Carpathian Mountains,09259329-n
Q4558,Cascade Range,09259982-n
Q5484,Caspian Sea,09260310-n
Q10464,Cassiopeia,09260533-n
Q13029,Castor,09260655-n
Q5051461,Cataract Canyon,09260936-n
Q630566,Catskill Mountains,09261331-n
Q18869,Caucasus,09261580-n
Q35509,cave,09261832-n
Q20919210,cavern,09262208-n
Q731175,Cayuga Lake,09262487-n
Q8844,Centaurus,09262957-n
Q10468,Cepheus,09263178-n
Q596,Ceres,09263315-n
Q8839,Cetus,09263413-n
Q10457,Chamaeleon,09263795-n
Q794927,Charles River,09264943-n
Q1068297,Chattahoochee River,09265420-n
Q5513,Lake Baikal,09265673-n
Q1115201,Lake Chelan,09265862-n
Q169962,Lake Tahoe,09266115-n
Q216868,Chesapeake Bay,09266311-n
Q14081,Chimborazo,09266521-n
Q48361,chondrite,09267097-n
Q182120,chondrule,09267237-n
Q190003,chromosphere,09267375-n
Q1002,Chukchi Peninsula,09267589-n
Q159252,Chukchi Sea,09267737-n
Q1092041,Cimarron River,09267878-n
Q3332002,clinker,09268118-n
Q6642389,Scoria,09268118-n
Q10508,Circinus,09268276-n
Q184368,cirque,09268421-n
Q40748,cirrocumulus,09268556-n
Q201564,cirrostratus,09268739-n
Q185638,cirrus,09268870-n
Q107679,cliff,09269370-n
Q1101503,Clinch River,09269566-n
Q8074,cloud,09270316-n
Q93352,coast,09271059-n
Q920070,Coast Mountains,09271383-n
Q939218,Cocytus,09271630-n
Q55818,impact crater,09272061-n
Q1265,Colorado River,09272324-n
Q847785,Colorado River,09272922-n
Q925906,Colorado Plateau,09273071-n
Q10425,Columba,09273457-n
Q2251,Columbia River,09273584-n
Q159557,coma,09273908-n
Q9285,Coma Berenices,09274135-n
Q3559,comet,09274313-n
Q3503,Congo,09274984-n
Q379648,Connecticut River,09275179-n
Q4127,Lake Constance,09275672-n
Q8928,constellation,09275876-n
Q5107,continent,09277520-n
Q134851,continental shelf,09278113-n
Q1031696,continental slope,09278249-n
Q207546,contrail,09278425-n
Q5023,Cook Strait,09278674-n
Q1129913,Coosa River,09278827-n
Q1131154,Copernicus,09279088-n
Q544041,coprolite,09279178-n
Q11292,coral reef,09279385-n
Q82931,Coral Sea,09279569-n
Q10406,Corona Borealis,09280047-n
Q946035,Coropuna,09280186-n
Q10517,Corvus,09280335-n
Q31615,cove,09280667-n
Q913730,cove,09280749-n
Q10934,Crab Nebula,09281493-n
Q1404150,rock,09281931-n
Q9282,Crater,09282282-n
Q191110,craton,09282406-n
Q862193,crevasse,09282583-n
Q7081903,Okeechobee Waterway,09282652-n
Q4232578,crust,09282916-n
Q43533,crystal,09283372-n
Q899604,crystallite,09283650-n
Q1143718,Cumberland River,09284044-n
Q1143695,Cumberland Gap,09284313-n
Q1143656,Cumberland Plateau,09284510-n
Q182311,cumulonimbus,09284678-n
Q14189,cumulus,09284866-n
Q2097111,Cuquenan Falls,09284988-n
Q8921,Cygnus,09285396-n
Q5210320,Dale,09285596-n
Q117484,dandruff,09285861-n
Q1653,Danube,09285993-n
Q181482,Darling River,09286385-n
Q23883,Dead Sea,09286525-n
Q7548,Deimos,09286927-n
Q143762,Delaware River,09287022-n
Q738808,Delaware Bay,09287331-n
Q5254105,dell,09287505-n
Q9302,Delphinus,09287586-n
Q43197,river delta,09287709-n
Q1185369,Demerara River,09288040-n
Q5256575,Denali Fault,09288180-n
Q12179,Deneb,09288298-n
Q13015,Denebola,09288398-n
Q318435,Detroit River,09288958-n
Q165440,Dhaulagiri,09289359-n
Q943898,diapir,09289510-n
Q215589,dipole,09289852-n
Q591942,distributary,09290508-n
Q2048319,ditch,09290664-n
Q40855,Dnieper,09291142-n
Q1229,Don,09291684-n
Q2113165,Donner Pass,09291833-n
Q8837,Dorado,09292080-n
Q8675,Draco,09292623-n
Q2122935,draw,09292788-n
Q162441,lees,09292878-n
Q17145989,drey,09293066-n
Q1378564,drift ice,09293320-n
Q192701,drumlin,09293563-n
Q25391,dune,09293641-n
Q2,Earth,09293800-n
Q16502,world,09293800-n
Q45341,East China Sea,09294197-n
Q10965,Ebro,09294321-n
Q1644,Elbe,09294464-n
Q2225,electron,09294810-n
Q43116,elementary particle,09294991-n
Q3051265,Elizabeth River,09295501-n
Q34640,English Channel,09296353-n
Q13222,Epsilon Aurigae,09296834-n
Q10433,Eridanus,09296938-n
Q1174791,escarpment,09297058-n
Q332784,esker,09297211-n
Q47053,estuary,09297406-n
Q34589,Euphrates,09297645-n
Q5401,Eurasia,09297922-n
Q3143,Europa,09298241-n
Q46,Europe,09298379-n
Q513,Mount Everest,09299916-n
Q597281,Everglades,09300185-n
Q1385889,Eyre Peninsula,09301068-n
Q4863385,barren vegetation,09301201-n
Q159675,tributary,09301903-n
Q44363,fermion,09302067-n
Q403134,Fingal's Cave,09302633-n
Q156030,liman,09303286-n
Q35654,Firth of Clyde,09303479-n
Q202083,Firth of Forth,09303637-n
Q1265665,fish pond,09303819-n
Q430297,fixed star,09303901-n
Q45776,fjord,09304010-n
Q1428859,Flint River,09304451-n
Q193110,floodplain,09304820-n
Q215414,foam,09305630-n
Q3075150,fomite,09306099-n
Q1354045,foothills,09306311-n
Q12743,ford,09306529-n
Q4421,forest,09306921-n
Q3241565,woodland,09306921-n
Q8913,Fornax,09307214-n
Q1147392,Fox River,09308034-n
Q2560406,Galveston Bay,09309224-n
Q1127599,Galway Bay,09309384-n
Q5089,Ganges,09309536-n
Q939201,Kan,09309749-n
Q3169,Ganymede,09309939-n
Q5077,Garonne,09310030-n
Q862078,Gasherbrum,09310195-n
Q105580,gauge boson,09310321-n
Q8923,Gemini,09310519-n
Q677371,geode,09310723-n
Q736917,formation,09310874-n
Q83471,geyser,09311541-n
Q5875,giant star,09311675-n
Q838143,Gila River,09311852-n
Q35666,glacier,09312237-n
Q1976531,glen,09312502-n
Q213936,Bok globule,09312615-n
Q3299,gluon,09312708-n
Q220032,Golden Gate,09312819-n
Q3699460,defile,09313350-n
Q118841,Grand Canyon,09313933-n
Q1542859,Grand River,09314091-n
Q2078034,Grand Teton,09314246-n
Q506139,caryopsis,09314419-n
Q103585,graviton,09314539-n
Q186733,Great Australian Bight,09314913-n
Q8918,Ursa Major,09315095-n
Q7343,Great Barrier Reef,09315254-n
Q1278183,Eastern Highlands,09315451-n
Q7347,Great Lakes,09315657-n
Q12707,Great Plains,09315917-n
Q81591,Great Rift Valley,09316246-n
Q178741,Great Salt Lake,09316519-n
Q5539,Great Slave Lake,09316650-n
Q1360486,Great Smoky Mountains,09316823-n
Q952429,Green River,09316972-n
Q132868,Greenland Sea,09317191-n
Q41507,Green Mountains,09317319-n
Q1131329,grotto,09317783-n
Q10563,Grus,09318361-n
Q692982,Guadalupe Mountains,09318482-n
Q5617310,gulch,09318852-n
Q1322134,gulf,09319027-n
Q41837,Gulf of Aden,09319710-n
Q180531,Gulf of Alaska,09319843-n
Q81598,Gulf of Antalya,09320010-n
Q81611,Gulf of Aqaba,09320146-n
Q122574,Gulf of Bothnia,09320329-n
Q132811,Gulf of California,09320490-n
Q61304,Bay of Campeche,09320635-n
Q180844,Gulf of Carpentaria,09320826-n
Q209682,Gulf of Corinth,09321006-n
Q14686,Gulf of Finland,09321173-n
Q41430,Gulf of Guinea,09321316-n
Q138708,Gulf of Martaban,09321475-n
Q12630,Gulf of Mexico,09321604-n
Q745945,Gulf of Ob,09321880-n
Q79948,Gulf of Oman,09322031-n
Q174731,Gulf of Riga,09322171-n
Q169523,Gulf of Saint Lawrence,09322303-n
Q187274,Gulf of Sidra,09322490-n
Q168277,Gulf of Suez,09322633-n
Q2272405,Gulf of Tehuantepec,09322791-n
Q131217,Thailand,09322936-n
Q194205,Gulf of Venice,09323105-n
Q1361400,gully,09323212-n
Q151957,guyot,09323465-n
Q101667,hadron,09323580-n
Q2360566,hairball,09323950-n
Q1011895,Hampton Roads,09324155-n
Q5647436,Handies Peak,09324367-n
Q7376362,river source,09325033-n
Q10448,Hercules,09325169-n
Q5087090,Chase,09325522-n
Q54050,hill,09325914-n
Q4839611,Backen,09326434-n
Q5451,Himalayas,09326553-n
Q5472,Hindu Kush,09327070-n
Q3270079,hogback,09327282-n
Q20204151,hole,09327371-n
