line	lid	adib	headword	normalized	aftercomma
373	L250	0	abastant	abastant
374	L251	1	abastoki	abastoki
375	L252	5	abastu	abastu
376	L253	11	abat	abat
377	subentry	1	ABAT-ELIZA
378	L254	0	abatako	abatako
379	L255	2	abatari	abatari
380	L256	4	abatatu	abatatu
381	subentry	1	ABATI ERAZI
382	L257	1	abatetxe	abatetxe
383	L258	0	abatorraze	abatorraze
384	L259	5	1 abatz	abatz
385	L260	0	abauts	abauts
386	L261	1	abaxamendu	abaxamendu
387	L262	3	abaxatu	abaxatu
388	L263	2	abaxu	abaxu
389	L264	0	abazera	abazera
390	L265	2	abazeria	abazeria
391	L266	1	abazeru	abazeru
392	L267	1	abazkatu	abazkatu
393	L268	0	abazuza	abazuza
394	L269	3	abazuzaka	abazuzaka
395	L270	0	abazuzi	abazuzi
396	L271	93	habe	habe
397	subentry	2	HABE-HARRI
398	L271	2	2 habe	habe
399	L272	2	habearte	habearte
400	L273	48	abegi	abegi
401	L274	1	abegiar	abegiar
402	L275	1	abegitasun	abegitasun
403	L276	2	abegitsu	abegitsu
404	L277	2	1 abegor	abegor
405	L277	0	2 abegor	abegor
406	L278	0	abegortu	abegortu
407	L279	0	abegune	abegune
408	L279	0	abegune	abegune
409	L280	0	abekatu	abekatu
410	L281	1	habeki	habeki
411	L282	1	abel	abel
412	multiword_mainentry	0	abel-	abel-
413	subentry	0	ABEL ASKA
414	subentry	1	ABEL AZTARNA
415	subentry	2	ABEL BAZKA
416	subentry	0	ABELBIDE
417	subentry	2	ABEL GOROTZ, ABERE-GOROTZ
418	subentry	0	ABEL HODI
419	subentry	1	ABEL JABE
420	subentry	1	ABEL KALPAR
421	subentry	1	ABEL ONGARRI
422	subentry	2	ABEL SENDALARI
423	L283	1	1 abela	abela
424	L283	0	2 abela	abela
425	L284	0	abelari	abelari
426	L285	0	abelarri	abelarri
427	L286	0	abelarte	abelarte
428	L287	7	abelburu	abelburu
429	L288	2	abeldi	abeldi
430	L289	2	abeldun	abeldun
431	L290	3	abelera	abelera
432	L291	8	abeletxe	abeletxe
433	L292	26	abelgorri	abelgorri
434	L293	0	abeljale	abeljale
435	L294	0	abelkera	abelkera
436	L295	2	abelkume	abelkume
437	L296	0	abelmutu	abelmutu
438	L297	1	abelpe	abelpe
439	L298	12	abeltegi	abeltegi
440	L299	0	abeltxe	abeltxe
441	L300	19	abeltzain	abeltzain
442	L301	3	abeltzaintza	abeltzaintza
443	L302	6	abeltzale	abeltzale
444	subentry	38	Abemaria
445	subentry	1	ABE MARIAKA
446	subentry	4	ABE-MARIKO
447	L303	10	abemarietako	abemarietako
448	L304	29	abenda	abenda
449	L305	3	abenderri	abenderri
450	L306	58	abendu	abendu
451	subentry	2	ABENTU TXIKER
452	L306	1	2 abendu	abendu
453	L307	7	abenikoa	abenikoa
454	L308	1	abenitu	abenitu
455	L309	1	abenka	abenka
456	L310	0	abentau	abentau
457	L311	1	aberasbide	aberasbide
458	L312	2	aberasgai	aberasgai
459	L313	4	aberasgarri	aberasgarri
460	L314	1	aberasgoa	aberasgoa
461	L315	27	aberaska	aberaska
462	L316	1	aberaskeria	aberaskeria
463	L317	0	aberasketa	aberasketa
464	L318	6	1 aberaski	aberaski
465	L318	15	2 aberaski	aberaski
466	L319	0	aberaskiro	aberaskiro
467	L320	1	aberaskitegi	aberaskitegi
468	L321	0	aberaskitza	aberaskitza
469	L322	4	aberaskizun	aberaskizun
470	L323	1	aberasko	aberasko
471	L324	2	aberaskume	aberaskume
472	L325	85	aberastasun	aberastasun
473	L326	1	aberaste	aberaste
474	L327	74	aberastu	aberastu
475	L328	0	aberastura	aberastura
476	L329	84	aberats	aberats
477	L330	4	aberatsaile	aberatsaile
478	L331	1	aberatserazi	aberatserazi
479	L332	1	aberatserazitzaile	aberatserazitzaile
480	L333	1	aberatsi	aberatsi
481	L334	0	aberbio	aberbio
482	L335	107	abere	abere
483	subentry	7	ABERE BASA, BASATI
484	subentry	3	ABERE BELTZ
485	subentry	1	ABERE-EREMU
486	subentry	14	ABERE-MOTA
487	subentry	11	ABERE MUTU
488	subentry	4	ABERE-SENDATZAILE
489	subentry	6	ABERE XEHE, TXE
490	subentry	1	ABERE-BARBER
491	subentry	1	ABERE-TOKI
492	subentry	0	ABERE-TRESNA
493	subentry	1	ABERE-UZTARRI
494	multiword_mainentry	0	abere-buru	abere-buru
495	L336	1	aberedi	aberedi
496	L337	1	aberegaitasun	aberegaitasun
497	L338	1	abereil	abereil
498	L339	7	aberekeria	aberekeria
499	subentry	1	ABREKERIAZKO
500	L340	1	abereketa	abereketa
501	L341	2	1 abereki	abereki
502	L341	2	2 abereki	abereki
503	L341	5	3 abereki	abereki
504	L342	1	aberekinde	aberekinde
505	L343	2	aberekor	aberekor
506	L344	1	aberekuntza	aberekuntza
507	L345	2	aberentü	aberentü
508	L346	1	abereño	abereño
509	L347	0	aberero	aberero
510	multiword_mainentry	10	abere-talde	abere-talde
511	L348	1	aberetar	aberetar
512	L349	3	aberetasun	aberetasun
513	L350	0	aberete	aberete
514	L351	0	abereti	abereti
515	L352	1	aberetsu	aberetsu
516	L353	10	aberetu	aberetu
517	L354	16	aberetxo	aberetxo
518	L355	0	aberetza	aberetza
519	L356	6	aberetzar	aberetzar
520	L357	8	aberexka	aberexka
521	L358	2	aberezko	aberezko
522	L359	4	aberi	aberi
523	L360	10	aberkide	aberkide
524	L361	13	aberkoi	aberkoi
525	L362	53	aberri	aberri
526	subentry	3	ABERRI-EGUNA
527	L363	0	abertentzi	abertentzi
528	L364	4	abertimendu	abertimendu
529	L365	37	abertitu	abertitu
530	L366	3	abertzai	abertzai
