wikibase_item,pdf,zot_st,zot
Q35557,https://www.inguma.eus/fso/fitxategia/378-ikergazte.ii.05.130_137.pdf,Q35557-8316456A-A848-4058-BDBC-B302EA4FB646,B7J7SS9V
Q35559,https://www.inguma.eus/fso/fitxategia/376-ikergazte.ii.05.116_123.pdf,Q35559-838E9727-B3CE-4350-BD76-A8F5BA4B224B,ULSST8HS
Q35570,https://www.inguma.eus/fso/fitxategia/365-ikergazte.ii.05.39_44.pdf,Q35570-B52B4C68-F804-4950-B101-73D4D58E6A6D,8VR94JWS
Q35589,https://www.inguma.eus/fso/fitxategia/322-ikergazte.ii.03.67_74.pdf,Q35589-23FAF616-8517-4FD5-92CD-7081E90363B2,N745N8SP
Q35609,https://www.inguma.eus/fso/fitxategia/176-ikergazte.iii.02.122_130.pdf,Q35609-5018D2A1-C4B3-4061-89D5-5F6ACA1B7F40,9A3WTT95
Q35629,https://www.inguma.eus/fso/fitxategia/355-ikergazte.ii.04.145_152.pdf,Q35629-EB438DA1-6A4D-4708-8ACF-81F4932CC1F3,ZW4SFATY
Q35633,https://www.inguma.eus/fso/fitxategia/351-ikergazte.ii.04.120_127.pdf,Q35633-208A01C8-6F4F-4318-8C65-EA604A339EF3,QDBJFE8T
Q35643,https://www.inguma.eus/fso/fitxategia/341-ikergazte.ii.04.50_57.pdf,Q35643-093BF483-01BC-4A6F-842B-114D726E9227,KM4R3S7N
Q35646,https://www.inguma.eus/fso/fitxategia/338-ikergazte.ii.04.26_33.pdf,Q35646-C2E453CF-5498-4B64-B25F-17D22D7F9AAA,55WZZHRT
Q35657,https://www.inguma.eus/fso/fitxategia/303-ikergazte.ii.01.103_110.pdf,Q35657-A9D56021-71D5-4941-B8C1-A410D1A577E9,X83G6H2T
Q35661,https://www.inguma.eus/fso/fitxategia/299-ikergazte.ii.01.72_79.pdf,Q35661-0CB54BF9-40AE-45B3-AEB7-572D4788A2A1,4QZ9IYLT
Q35666,https://www.inguma.eus/fso/fitxategia/294-ikergazte.ii.01.40_47.pdf,Q35666-6E842623-5AE6-46D9-994A-9EEAE63B1A83,HCEKZR2B
Q35671,https://www.inguma.eus/fso/fitxategia/503-ikergazte.i.832_837.pdf,Q35671-9C3F09DF-9643-43D2-9D59-A8E930BA206D,FZNFKTVP
Q35679,https://www.inguma.eus/fso/fitxategia/495-ikergazte.i.776_783.pdf,Q35679-0E374E78-6CC6-46F9-9DBE-B4FE8ACF4998,CXQHIFA7
Q35685,https://www.inguma.eus/fso/fitxategia/489-ikergazte.i.739_744.pdf,Q35685-1F36D430-D7AC-4A1D-BF81-4EFDE168897C,SB6EALIM
